h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6
0.00390625	1.000002969183333	1.2226913341417134e-12	1.001945933791913	1.0019771969398539	1.000972492624587	1.0009682726776714	1.0019359996997501	1.0006501455654362	4.406236347015229e-12	8.44878474304152e-13	7.608932579495283e-13	7.92708352187247e-13	1.307547559370699e-12	1.000794479237616e-12
0.0078125	1.0000118765566255	1.9563207995899458e-11	1.003902837558575	1.003956398755013	1.001951659106371	1.0019416379068713	1.0038707784330319	1.0013059554532515	7.050031003635176e-11	1.3518156923613733e-11	1.2174383388750607e-11	1.2683428712457376e-11	2.092091777722116e-11	1.6012831703119037e-11
0.015625	1.0000475048128454	3.1301701640512226e-10	1.0078495567603976	1.0079208187758486	1.0039300140439402	1.0039036464190338	1.0077366747324283	1.00263456790242	1.1280254602333302e-09	2.1629444150533705e-10	1.9479367421322495e-10	2.0293854740963896e-10	3.3474076769286934e-10	2.5620996336379357e-10
0.03125	1.0001900079421822	5.008399638537474e-09	1.0158746540480776	1.0158737367319495	1.007966814631836	1.00788877845258	1.0154538347883821	1.0053597614395866	1.8048866391281777e-08	3.4607990808108325e-09	3.116778054826987e-09	3.2470993403639277e-09	5.355988499190388e-09	4.099463673374679e-09
0.0625	1.0007599412951234	8.013949393752455e-08	1.0324515818394102	1.0318759831205535	1.016360801192781	1.0161035249101256	1.0308297217354003	1.011082006626908	2.8880024022317975e-07	5.5376309194970614e-08	4.987162248545229e-08	5.195689575155847e-08	8.570126963463712e-08	6.559559298575614e-08
0.125	1.0030390413916415	1.28243088808598e-06	1.067713151724553	1.0642669083530096	1.0344304961285002	1.0335111262153065	1.0613485390215223	1.0236137979145898	4.621520929962316e-06	8.861584456122594e-07	7.980697902106419e-07	8.314393401686102e-07	1.3714331090401517e-06	1.0496923605835306e-06
0.25	1.0121503752556886	2.0524626688235277e-05	1.1466734002138854	1.1306008130357525	1.0756982154406343	1.0722401930124574	1.1214605555754047	1.0530255318309727	7.396499312404501e-05	1.418249626688582e-05	1.2772684023291782e-05	1.3306745984840385e-05	2.1949060064317255e-05	1.6799769904657e-05
0.5	1.048555178535775	0.00032857743844332297	1.3383923441417391	1.2695274344474954	1.1787585093107247	1.1653652283652463	1.2380317839160693	1.1292331865386886	0.001184100853298701	0.00022704667738373437	0.00020447708317271313	0.0002130268470228027	0.0003513811014309909	0.00026894644397471593
1.0	1.1938501342473027	0.005263115148677138	1.8574241163785896	1.5728206868552672	1.4670708178987915	1.414374466195574	1.456960359979768	1.3511178955409124	0.01896678958872858	0.003636807240498545	0.0032752901084815503	0.003412239230278238	0.005628381567102955	0.004307952822848289
