h	true_value	first_estimate	spre_estimate	abs_err_first_estimate	abs_err_spre_estimate
0.00390625	1.0	1.0019442212153349	1.000006897002908	0.0019442212153348848	6.89700290790185e-06
0.0078125	1.0	1.0038959872538011	1.0000100943657846	0.0038959872538011364	1.0094365784585335e-05
0.015625	1.0	1.0078221555536748	1.0000161085533972	0.007822155553674826	1.6108553397176095e-05
0.03125	1.0	1.0157650493200336	1.0000138815002382	0.01576504932003364	1.388150023817758e-05
0.0625	1.0	1.0320131637179384	0.9998946073313347	0.03201316371793839	0.00010539266866527175
0.125	1.0	1.0659594855644499	0.9993862107050943	0.06595948556444986	0.0006137892949057422
0.25	1.0	1.1396587861799068	0.9967173482285449	0.1396587861799068	0.0032826517714551473
0.5	1.0	1.310334292857553	0.9856989422764367	0.310334292857553	0.01430105772356327
1.0	1.0	1.7451951500557483	0.9405631651155366	0.7451951500557483	0.059436834884463385
