h	mu	var	mu_cv1	mu_cv2	mu_cv3	var_cv1	var_cv2	var_cv3
0.125	0.02143160893441879	2.2897479660584356e-13	0.02145145555889333	0.02150481212305144	0.021577526067151166	2.391653081599834e-10	1.36792424766487e-10	1.7792786948079789e-09
0.25	0.02138385978864003	3.3565011904652215e-12	0.02146218477909465	0.02167780931821491	0.02196863944028129	3.956291467731857e-09	2.262750055039974e-09	2.943418815477901e-08
0.5	0.021194100885260556	6.269555328691731e-11	0.021496710813215084	0.022379930045518186	0.023541638940855432	6.879664676626644e-08	3.934817005507711e-08	5.118240521046554e-07
1.0	0.020434011393586356	1.426941817528794e-09	0.021565132993747935	0.02528853196606304	0.029951184587895145	1.3083207087818603e-06	7.483368852865092e-07	9.732803590333227e-06
