h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6
0.125	0.013193792373091616	1.835172769324305e-14	0.021458846470970194	0.02149447150553216	0.021495570356560568	0.02147667593147244	0.02147667593147261	0.021458758136342806	2.8340942827907526e-14	2.83409428279068e-14	1.1336377131163061e-13	4.5345508524651e-14	4.534550852465069e-14	2.061159478393216e-14
0.25	0.00715804931240321	1.8933680879216467e-14	0.021494338510288237	0.021639083760109826	0.021639434946362276	0.02156530020403595	0.02156530020417352	0.021493857754029372	8.41738077114173e-14	1.3467809232198736e-12	3.3669523080355713e-13	1.4964232480080077e-13	1.4964232480042885e-13	2.748532496342896e-14
0.5	0.0071642617376207725	8.284323189497441e-13	0.02163984221607961	0.022207970787437876	0.022213630376304024	0.021926497911173595	0.021926497911172523	0.021634963565371465	3.682528175788438e-12	5.892045081263037e-11	1.4730112703155052e-11	6.546716756957751e-12	6.546716756957825e-12	1.2024581798494147e-12
1.0	0.01984740152920702	1.936770604005251e-09	0.022194580844020175	0.024553025397885304	0.024550652644951272	0.023423202645526425	0.023423202645526376	0.0221971836440598	9.717594668179583e-10	9.717594668179628e-10	9.717594668179628e-10	1.7005790669314399e-09	1.7005790669314266e-09	9.717594668179556e-10
