h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	mu_cv9	mu_cv10	mu_cv11	mu_cv12	mu_cv13	mu_cv14	mu_cv15	mu_cv16	mu_cv17	mu_cv18	mu_cv19	mu_cv20	mu_cv21	mu_cv22	mu_cv23	mu_cv24	mu_cv25	mu_cv26	mu_cv27	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8	var_cv9	var_cv10	var_cv11	var_cv12	var_cv13	var_cv14	var_cv15	var_cv16	var_cv17	var_cv18	var_cv19	var_cv20	var_cv21	var_cv22	var_cv23	var_cv24	var_cv25	var_cv26	var_cv27
0.015625	81.25311686002493	85.30711020006224	81.31840762330702	81.31895486978408	81.32114680717261	81.31895486978408	81.31950201840212	81.32169356382686	81.32114680717261	81.32169356382686	81.32388353928276	81.31816864981838	81.31871602459613	81.32090847657663	81.31871602459613	81.31926330146895	81.32145536130164	81.32090847657663	81.32145536130164	79.50765950455492	81.31797744415618	81.31852492160817	81.32071778539772	81.31852492160817	81.31907230111851	81.32126477261296	81.32071778539772	81.32126477261296	81.32345567281043	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909	85.4242902964909
0.03125	79.56437647880738	6.869012896947316e-06	79.5190875213934	79.45823676134576	79.23044838069555	79.45823676133703	79.39767069685826	79.16999049749036	79.23044838070373	79.16999049748274	78.94716370575682	79.5271318662547	79.47011810967656	79.24057554788803	79.47011810967561	79.41334291227803	79.18427588008824	79.24057554787572	79.18427588007701	78.95606392765058	79.53379548616519	79.47965038229204	79.24908264512788	79.47965038228571	79.42583936344118	79.19567275418557	79.24908264512474	79.1956727541867	78.96480851498141	2.738989478344413e-06	3.5770003315688096e-06	5.167144223683464e-06	3.577000331568925e-06	2.7940778007656564e-06	3.358038982274118e-06	5.16714422368352e-06	3.3580389822743362e-06	7.048768975404276e-06	2.3366668487769677e-06	2.258995835555765e-06	2.372343988141306e-06	2.2589958355557694e-06	2.252070477298374e-06	2.2619949603444523e-06	2.372343988141297e-06	2.261994960344415e-06	2.4552367086716543e-06	2.5643839718877942e-06	3.280562163496939e-06	3.017029426290894e-06	3.2805621634971355e-06	2.688153860832159e-06	3.141149020697724e-06	3.0170294262909045e-06	3.14114902069781e-06	3.299198252523278e-06
0.0625	79.51528245336209	0.00012961634838510683	79.39371395604111	79.1552057223677	78.21721843104949	79.15520572227338	78.90957517360518	77.97575797973285	78.21721843109393	77.97575797969306	77.0767335883257	79.39984304444388	79.17123092282829	78.23462231161928	79.17123092281761	78.94374501739169	78.01026491680925	78.23462231164017	78.01026491681094	77.08393484107259	79.40500436453635	79.18550284735646	78.25159552033568	79.18550284735787	78.97064151085335	78.0362095568975	78.25159552035814	78.03620955687893	77.09561551458809	4.2624593102941824e-05	8.16986837153684e-05	0.0001337401335876395	8.169868371534719e-05	5.4650225283085617e-05	8.013345964644028e-05	0.00013374013358764532	8.01334596464393e-05	0.0001479033048141322	4.0466497452004483e-05	4.121177532853559e-05	4.312445221943761e-05	4.121177532853532e-05	3.937107125537554e-05	4.133827066702459e-05	4.312445221943754e-05	4.133827066702518e-05	4.324114499115219e-05	4.167306129750435e-05	5.6425839578104185e-05	5.299414507351206e-05	5.6425839578108895e-05	5.1416831585555486e-05	5.546517371566883e-05	5.299414507351205e-05	5.546517371566698e-05	5.739554705297964e-05
0.125	79.14981417657187	0.0023827860378748274	78.92122617116645	77.97606043327892	73.70980444136923	77.97606043328165	77.00378669786393	72.74576065031874	73.70980444132546	72.74576065068489	68.85928889314279	78.91670146138054	77.98473060053075	73.70613987370245	77.98473060048178	77.05853682077094	72.84313474941318	73.70613987379777	72.84313474937936	68.84121851694415	78.91463215867452	77.98981529886937	73.6963215275726	77.98981529905224	77.09783993929153	72.91118178636023	73.69632152751115	72.911181786137	68.8363527830581	0.0006465698280828814	0.0007214359565639336	0.0015067846057831588	0.0007214359565639957	0.0009463985634351538	0.0016966336745671464	0.0015067846057841736	0.0016966336745664094	0.003368539108607483	0.0006252020629583506	0.0006433224535849937	0.000703782092256799	0.0006433224535849941	0.0005946858319303121	0.0006475566223512908	0.0007037820922568139	0.0006475566223512611	0.0007042309530108261	0.000621881840763754	0.0007588024410590987	0.001484154794891463	0.0007588024410591057	0.0008134224095401133	0.0010755832406381578	0.001484154794891105	0.00107558324063801	0.001760512957750743
0.25	79.89150260394305	0.09694110192235139	77.05391203913148	72.8304504714625	56.01843490797444	72.83045047126176	68.83823394317446	52.94717807707129	56.01843490815742	52.94717807738557	40.7231049547606	77.00903992555	72.79466987052291	56.00127537218075	72.79466987060603	68.81048128509258	52.9351385325431	56.00127537226305	52.93513853205295	40.71983412291433	76.97307343257384	72.76601489845866	55.98753661233227	72.76601489868044	68.7882778582584	52.925511052343104	55.987536613051304	52.92551105291428	40.71721952717098	0.0033832852978075314	0.00338328529780503	0.00338328529781457	0.0033832852978006207	0.0033832852978080015	0.0033832852978147063	0.00338328529781433	0.0033832852978156686	0.003383285297815392	0.0033832852978047216	0.003383285297807628	0.003383285297814874	0.003383285297816869	0.0033832852978028334	0.0033832852978135756	0.0033832852978136524	0.003383285297812259	0.0033832852978088732	0.003383285297810112	0.0033832852978165416	0.003383285297813279	0.003383285297796113	0.003383285297814693	0.0033832852978140653	0.0033832852978145844	0.003383285297814457	0.0033832852978103326
0.5	112.40038488057026	0.06999213367628694	68.8049303247371	52.93273200972931	31.18764011706447	52.93273200993383	40.71918064675178	23.99041769304954	31.187640117465964	23.99041769308594	14.13396606236226	68.74943093389254	52.90863569769103	31.177273822691685	52.90863569754034	40.71263036332971	23.98861201178804	31.177273822550216	23.98861201152571	14.133770758540047	68.70502581051014	52.88937519681565	31.16898836474019	52.889375196441414	40.70739841422595	23.987169416685518	31.16898836462776	23.987169416667317	14.133614612128136	0.002442754952621344	0.0024427549526101983	0.0024427549526114902	0.0024427549526107382	0.0024427549526191334	0.0024427549526119603	0.0024427549526114933	0.002442754952612882	0.0024427549526132623	0.0024427549526188524	0.0024427549526190684	0.0024427549526113233	0.002442754952611046	0.002442754952620481	0.0024427549526117665	0.0024427549526118086	0.0024427549526109763	0.0024427549526126495	0.0024427549526202207	0.002442754952616035	0.0024427549526112443	0.0024427549526125627	0.0024427549526136907	0.0024427549526122843	0.002442754952611189	0.0024427549526120605	0.002442754952609701
1.0	103.00138221540233	0.003152487383918085	40.711323064656774	23.988251525077338	12.560749698922022	23.988251525082177	14.133731730216681	7.400580571435433	12.560749698948516	7.400580571426168	3.8750042212763987	40.69818786438866	23.98463200822005	12.559241713251506	23.984632008262047	14.133340722153012	7.400489502864524	12.55924171325621	7.400489502717031	3.874996973122473	40.68771293080924	23.981744218488906	12.55803852524793	23.98174421837627	14.133028300335386	7.4004167151205875	12.558038525380224	7.40041671494886	3.874991176046178	0.00011002313781995217	0.00011002313782002854	0.00011002313781967601	0.00011002313782004246	0.00011002313782072345	0.00011002313781964911	0.00011002313781963686	0.00011002313781960106	0.00011002313781965749	0.00011002313781992642	0.00011002313782029417	0.00011002313781967211	0.00011002313781993657	0.00011002313782026844	0.00011002313781968458	0.00011002313781966657	0.00011002313781961835	0.00011002313781986747	0.00011002313782006711	0.00011002313781992396	0.00011002313781966467	0.0001100231378199351	0.0001100231378206078	0.00011002313781968816	0.00011002313781967376	0.0001100231378196642	0.00011002313781969721
