h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	mu_cv9	mu_cv10	mu_cv11	mu_cv12	mu_cv13	mu_cv14	mu_cv15	mu_cv16	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8	var_cv9	var_cv10	var_cv11	var_cv12	var_cv13	var_cv14	var_cv15	var_cv16
0.015625	6.466303766608099e+223	inf	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	3.774077164160519e+149	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	6.897390684381971e+223	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
0.03125	4.4052966351602665e+52	3.299107045862432e+106	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504284e+52	4.698983077504283e+52	4.698983077504283e+52	2.360520991540936e+37	4.698983077504284e+52	4.698983077504284e+52	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106	3.3120447205520884e+106
0.0625	38931400629475.67	2.5765949384184344e+28	41526827338102.086	41526827338102.12	41526827338102.12	41526827338102.1	41526827338102.1	41526827338102.086	41526827338102.1	41526827338102.1	41526827338102.15	41526827338102.38	41526827338102.266	41526827331619.984	41526827331619.984	13042.700886486311	41526827338102.2	41526827338102.2	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28	2.5866992322945854e+28
0.125	79.41417810069254	9.399887829264509e-05	78.91583937145786	77.0176750452404	77.06324179959934	77.9394771348364	77.93947712364613	78.87446896536954	77.98504767887322	77.98504759815116	76.21546802451867	67.01992381967773	68.24382288875744	70.35833730734439	70.3583290316277	72.74308889704596	72.12687250100458	72.12687217726975	2.461036130409725e-05	2.3184933170032773e-05	2.6360966662181126e-05	4.633944197793651e-05	4.633944199494987e-05	2.4610016792962555e-05	5.269036770446143e-05	5.2690367688728055e-05	0.004186999014387352	1.8972033371855324	0.24420023935443103	143.5410942036032	143.54105720757673	0.12379789510548021	0.1783634273602914	0.1783634261934521
0.25	83.95560695020568	7.130691260164809	77.3216561323471	67.60709936798489	67.63435610599817	72.41233830490322	72.41233830489999	77.31351212454385	72.43069499871353	72.43069499871336	67.06010517644569	36.25995618445779	41.060936956089314	51.45130131797267	51.45130131796843	64.84001838658364	55.06589325941361	55.065893259415226	2.097672431890741	1.7576281361683959	1.7654034874967268	2.097672431890902	2.0976724318908957	2.1013542704201575	2.101354270420297	2.1013542704202792	1.6683242733166606	2.266609076391882	2.671183171150136	2.6711831711501404	2.6711831711501306	2.5066511750316263	2.2666090763918763	2.2666090763918807
