h1	h2	h3	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
0.001953125	0.03125	0.03125	79.4520752931727	0.03846719589578469	79.64820352401452	79.62713699329977	79.5105842575309	79.72810548194191	79.61195505257986	79.48129605574191	79.59677718531478	79.77477498592448	0.026128459521796637	0.03126848434575663	0.03892607234879908	0.02764315282740803	0.026128459521796637	0.03126848434575663	0.027643152827408035	0.03892607234879907
0.00390625	0.03125	0.03125	79.45199529046337	0.038596576410488685	79.64696892645127	79.6254128311825	79.51012667154721	79.72688056642512	79.61104800040837	79.48066244319585	79.59595325855791	79.77271168128348	0.02621633994725086	0.031373652723759214	0.03905699624794515	0.027736127770279888	0.026216339947250856	0.03137365272375923	0.027736127770279895	0.03905699624794517
0.0078125	0.03125	0.03125	79.45203172424199	0.03826644707061169	79.64440156526686	79.62221998533485	79.50931459680788	79.72342223246159	79.60896430947702	79.47934289600225	79.59413968044797	79.76751044624106	0.02599210288257627	0.03110530344964045	0.038722928784246276	0.02749889145547924	0.025992102882576265	0.031105303449640458	0.027498891455479246	0.038722928784246276
0.015625	0.03125	0.03125	79.61848865836599	0.029704317577928217	79.61809817747127	79.57244469895636	79.63708882355023	79.64183864921075	79.62326808212785	79.60895075816224	79.64048906641818	79.6057310110312	0.030175814682339774	0.030175814682339774	0.030175814682339774	0.030175814682339774	0.030175814682339774	0.030175814682339774	0.030175814682339774	0.030175814682339774
0.03125	0.03125	0.03125	79.60821479177736	0.029843608282023676	79.60851319208064	79.56220033576908	79.62562386998113	79.63264031129938	79.61328088302565	79.59768853135677	79.63009698132865	79.59567422937748	0.030317316349992306	0.030317316349992306	0.030317316349992306	0.030317316349992306	0.030317316349992306	0.030317316349992306	0.030317316349992306	0.030317316349992306
0.0625	0.03125	0.03125	79.58661472549865	0.029006716249403854	79.58813810085329	79.54050775370128	79.6014912561069	79.61303755522303	79.59034913291542	79.57491831795708	79.60675942377311	79.57771626345904	0.02946714031685471	0.02946714031685471	0.02946714031685471	0.02946714031685471	0.02946714031685471	0.02946714031685471	0.02946714031685471	0.02946714031685471
0.125	0.03125	0.03125	79.54414095286079	0.026529914300704435	79.54390567015201	79.5038943702104	79.55405599267027	79.57464853461599	79.54881755361738	79.52829315252578	79.56361139382552	79.53590095526881	0.026951024051509266	0.026951024051509266	0.026951024051509266	0.026951024051509266	0.026951024051509266	0.026951024051509266	0.026951024051509266	0.026951024051509266
0.25	0.03125	0.03125	79.46488730745098	0.019460793207666943	79.46193831300053	79.43710000983504	79.46569213490571	79.49420033742925	79.47223579604281	79.44537083269499	79.48380730049466	79.45875373520491	0.01976969468715372	0.01976969468715372	0.01976969468715372	0.01976969468715372	0.01976969468715372	0.01976969468715372	0.01976969468715372	0.01976969468715372
0.5	0.03125	0.03125	8.917397485077723e+110	7.156797928722804e+222	1.0191311411517398e+111	1.0191311411517398e+111	1.0191311411517398e+111	1.0191311411517398e+111	7.1894966417371e+62	1.0191311411517398e+111	1.0191311411517398e+111	1.0191311411517398e+111	7.27039789584539e+222	7.27039789584539e+222	7.27039789584539e+222	7.27039789584539e+222	7.27039789584539e+222	7.27039789584539e+222	7.27039789584539e+222	7.27039789584539e+222
1.0	0.03125	0.03125	-1.718834079268203e+137	2.658951502050372e+275	-1.9643818048779464e+137	-1.9643818048779464e+137	-1.9643818048779464e+137	-1.9643818048779464e+137	8.243184819458433e+74	-1.9643818048779464e+137	-1.9643818048779464e+137	-1.9643818048779464e+137	2.701157081447997e+275	2.701157081447997e+275	2.701157081447997e+275	2.701157081447997e+275	2.701157081447997e+275	2.701157081447997e+275	2.701157081447997e+275	2.701157081447997e+275
