h	mu	var	mu_cv1	mu_cv2	mu_cv3	var_cv1	var_cv2	var_cv3
1e-08	1015.4062291842562	1.2125956126753574e-32	1015.4062291842562	1015.4062291842562	1015.4062291842562	1.425786414502659e-32	7.518697974299616e-33	1.425786414502659e-32
1e-07	1015.4062291842566	1.2125957059447085e-32	1015.4062291842562	1015.4062291842562	1015.4062291842562	1.4257865034969125e-32	7.51869875199373e-33	1.4257865034969128e-32
1e-06	1015.4062291842566	1.2125957059447085e-32	1015.4062291842562	1015.4062291842562	1015.4062291842562	1.4257865034969125e-32	7.51869875199373e-33	1.4257865034969128e-32
1e-05	1015.4062291842562	1.2125957080589708e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.4257865053056755e-32	7.518698771634489e-33	1.4257865053056755e-32
0.0001	1015.4062291842567	1.2125957094423451e-32	1015.4062291842562	1015.4062291842562	1015.4062291842562	1.4257865064863994e-32	7.518698784512147e-33	1.4257865064863997e-32
0.001	1015.4062291842566	1.2125957059447085e-32	1015.4062291842562	1015.4062291842562	1015.4062291842562	1.4257865034969125e-32	7.51869875199373e-33	1.4257865034969128e-32
