h	true_value	best_estimate	spre_estimate	abs_err_best_estimate	abs_err_spre_estimate
1e-15	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-14	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-13	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-12	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-11	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-10	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-09	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-08	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-07	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-06	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
1e-05	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
0.0001	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
0.001	1015.0374377332099	1015.4062291842562	1015.4062291842564	0.3687914510462633	0.3687914510464907
