h1	h2	h3	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
0.015625	0.015625	0.015625	0.3970055331155981	0.00013495344060838563	0.3973399352727308	0.3963963675120864	0.39618033653004237	0.39954278209453353	0.3957601503090206	0.3992469455944743	0.39578406764303126	0.3957936799688649	0.0001370955587132806	0.0001370955587132806	0.0001370955587132806	0.0001370955587132806	0.0001370955587132806	0.0001370955587132806	0.0001370955587132806	0.0001370955587132806
0.03125	0.015625	0.015625	0.3845585537543343	9.755194772699336e-05	0.3998772225656591	0.3881723323753425	0.39913404201802777	0.389385405133238	0.38762499509507936	0.3915458923086752	0.39764692621501146	0.3815836128551814	0.0001354577460838518	8.699316330346266e-05	8.867906804337911e-05	9.208472356110988e-05	9.941079666919081e-05	8.410989453678962e-05	0.0001109899860636197	0.00010404882942753798
0.0625	0.015625	0.015625	0.3879047374506723	0.00016049929113362202	0.4043799071744152	0.39153589364242086	0.39704287389727694	0.3943886553920767	0.3922086618205056	0.39571683452101397	0.4041129475894796	0.3811961448254367	0.0002228645632566957	0.00014312724009111396	0.00014590100854966552	0.0001515042313368805	0.0001635575994964864	0.0001383834845436203	0.00018260849220555681	0.0001711884155623276
0.125	0.015625	0.015625	0.3908293895519721	0.00014240194017495778	0.389229611992482	0.39283066183093607	0.392320641702021	0.39153257584603995	0.3892817867660858	0.3923256351454937	0.39023858963995084	0.3888756134927671	0.00014466228843170313	0.00014466228843170313	0.00014466228843170313	0.00014466228843170313	0.00014466228843170313	0.00014466228843170313	0.00014466228843170313	0.00014466228843170313
0.25	0.015625	0.015625	0.38878444706536797	0.0001478871289198262	0.38761052871506585	0.38944802812152873	0.38642363886710396	0.38925642589304527	0.39049622673280754	0.38669785035869186	0.3900426941663283	0.39030018366837277	0.00015023454366458537	0.00015023454366458537	0.00015023454366458537	0.00015023454366458537	0.00015023454366458537	0.00015023454366458537	0.00015023454366458537	0.00015023454366458537
0.5	0.015625	0.015625	0.38355390454350935	6.272252142148524e-05	0.3894852235284205	0.39186813001318055	0.38788979166713017	0.3916980879408346	0.3833392355789871	0.3850237740733063	0.39071091494137294	0.397217142113176	4.9240144168593414e-05	5.172597402020572e-05	5.588420988286825e-05	7.151145534483786e-05	6.863156254336482e-05	5.174131702564486e-05	4.819404320221511e-05	5.9969800715788394e-05
1.0	0.015625	0.015625	0.38325719212866777	5.520919433722509e-05	0.38788700664608333	0.3970226871499127	0.3891134929772536	0.40006861815389266	0.38578817485707206	0.38751823141914504	0.3926865991561672	0.39629022542717873	4.334182725737244e-05	4.552988762638573e-05	4.919002192326869e-05	6.294533041713071e-05	6.0410410618890004e-05	4.554339274304573e-05	4.242103532745242e-05	5.278621310253159e-05
