h	mu	var	mu_cv1	mu_cv2	mu_cv3	var_cv1	var_cv2	var_cv3
1e-15	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-14	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-13	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-12	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-11	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-10	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-09	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-08	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-07	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-06	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
1e-05	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
0.0001	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
0.001	1015.4062291842564	1.7641283895878863e-32	1015.4062291842564	1015.4062291842562	1015.4062291842562	1.8328415753925124e-32	4.582103938481284e-33	1.832841575392514e-32
