h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.001	9800.4140625	1.647595581744099e-06	9800.416015625	9800.4150390625	9800.4150390625	9800.4228515625	0.0001287010236410424	5.525630513147917e-06	5.525644155568443e-06	0.0001287009217776358
0.002	9800.5634765625	3.1571030376653653e-06	9800.3994140625	9800.419921875	9800.4130859375	9800.4501953125	0.0003797501849476248	7.487069979106309e-06	7.487069979106309e-06	0.00037974907900206745
0.003	9800.4384765625	2.3097943540051347e-06	9800.4326171875	9800.4189453125	9800.416015625	9800.4248046875	0.00023003248497843742	6.623894932999974e-06	6.623832632612903e-06	0.0002300326741533354
0.004	9800.3671875	4.293526217225008e-05	9800.42578125	9800.4287109375	9800.4072265625	9800.478515625	0.005048899445682764	0.00010308857599738985	0.00010308955825166777	0.005048831924796104
0.005	9800.3056640625	2.233755003544502e-05	9800.4453125	9800.423828125	9800.4091796875	9800.4501953125	0.0026682273019105196	5.259625322651118e-05	5.259531462797895e-05	0.002668207511305809
0.006	9800.447265625	0.00012709344446193427	9800.4150390625	9800.4345703125	9800.4033203125	9800.5029296875	0.014948731288313866	0.00030711619183421135	0.00030710321152582765	0.014948628842830658
0.007	9800.3056640625	3.1671479518990964e-05	9800.443359375	9800.427734375	9800.412109375	9800.4208984375	0.0038595155347138643	7.279967394424602e-05	7.27955048205331e-05	0.0038595471996814013
0.008	9800.509765625	4.3656695197569206e-05	9800.4296875	9800.4365234375	9800.4052734375	9800.4580078125	0.005481428001075983	9.646263788454235e-05	9.64686696534045e-05	0.005481476429849863
0.009	9800.5625	3.564444341463968e-05	9800.4794921875	9800.431640625	9800.412109375	9800.4658203125	0.004439727868884802	7.960141374496743e-05	7.960414950503036e-05	0.004439780488610268
0.01	9800.41015625	0.0003231434675399214	9800.4453125	9800.451171875	9800.39453125	9800.5615234375	0.038868751376867294	0.0007534408941864967	0.0007534147589467466	0.0388670340180397
