h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.05	9395.839353516883	0.009902487329526862	9396.64229285567	9396.087172244585	9395.816750319638	9395.816482549852	1.0359168351569055	0.010348920935332684	0.011371327177655825	0.011372618623637282
0.1	9396.070384586545	0.20652604235639557	9398.529244950398	9395.551635586646	9396.174434582763	9396.174945185385	21.589814377851862	0.21568457520203874	0.2369928118227768	0.23701910929913259
0.2	9395.516696369288	0.7597211025788778	9403.770545227046	9397.809032577648	9395.31883809357	9395.316127606682	79.44833156918206	0.7936974040771202	0.8721095579156531	0.8722073805998799
0.3	9395.249370530868	2.2877318858426263	9403.647969882237	9398.63497440845	9394.905216833731	9394.901562479025	239.25785665897598	2.390211801037181	2.6263492187568858	2.6266445079560548
0.4	9395.713270195884	0.15876189662280124	9428.024168092963	9399.615034007527	9395.626231178663	9395.621364829774	16.605126367778364	0.1658870038577106	0.1822755635272849	0.1822961148714593
0.5	9394.977356269126	4.676716794545373	9416.523934076149	9400.772030974882	9394.486486755559	9394.480032285921	489.1349602690763	4.886511023738687	5.369266608119878	5.369871577565561
0.6	9394.691250869218	8.111447182666629	9415.333469551282	9401.548774643265	9394.044012024962	9394.035894680854	848.2521721628796	8.47413071831301	9.311319851248149	9.312363968474939
0.7	9394.50548031218	10.841675984090102	9413.51192205557	9401.947746069778	9393.756702159508	9393.747804436587	1133.7753325274857	11.326537895263737	12.44552635023303	12.446922337379979
0.8	9393.89499529977	22.66773281601182	9395.159678428554	9402.032685913679	9392.80820446566	9392.79957631835	2369.8322022784346	23.67487940316501	26.01380388034436	26.01669694658374
0.9	9390.643109023933	157.9296920286228	9291.246440206567	9401.850297730984	9387.762500733534	9387.752947096358	16511.94307817299	164.95609294469796	181.25268465602244	181.27287550063488
1.0	9393.060334757723	45.73755484733549	9362.909348164409	9401.427445886147	9391.513287628277	9391.50561020045	4783.058476604541	47.783270225890064	52.50394729578333	52.50983752053188
1.25	9394.297495952072	14.420366797054388	9382.181055802981	9399.475778864771	9393.429316225718	9393.423820740585	1507.6572611950003	15.061658712282789	16.549652869683662	16.551495439336552
1.5	9396.55499633366	2.6246088410943273	9455.209756756105	9399.692935793111	9396.931434128484	9396.926688033098	274.59323001867926	2.743215989157149	3.014227930293865	3.014571656504703
1.75	9397.817624668196	21.67033207693716	9526.65624439052	9402.867053024018	9398.895381535916	9398.886973034885	2266.1007601061824	22.638591086608233	24.87513700177955	24.8779236321839
2.0	9400.563792559897	126.45100708414486	9588.868775903047	9400.471167158352	9403.153104669258	9403.148674230233	13221.47362213005	132.08394802485358	145.1329850998435	145.1491780113394
