h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.05	9395.8974609375	0.004102248698472977	9396.3369140625	9396.0703125	9395.783203125	9396.388671875	1.2160067558288574	0.01850997656583786	0.017539795488119125	0.6472522616386414
0.1	9395.857421875	0.04446468874812126	9396.51953125	9395.6591796875	9396.2841796875	9394.7509765625	14.199193954467773	0.39374274015426636	0.3473367393016815	5.491276741027832
0.2	9395.8515625	0.33405694365501404	9400.7705078125	9397.6708984375	9395.0126953125	9400.6875	94.21453857421875	1.4071775674819946	1.3393001556396484	52.20095443725586
0.3	9396.1025390625	0.833356499671936	9400.2705078125	9398.359375	9394.4140625	9403.0361328125	268.2019348144531	4.247415065765381	3.9905846118927	132.57769775390625
0.4	9395.9794921875	0.4676532447338104	9420.298828125	9399.6083984375	9395.484375	9399.5263671875	79.04104614257812	1.039888858795166	1.0266635417938232	66.68019104003906
0.5	9396.166015625	2.0591790676116943	9408.75390625	9400.4345703125	9393.7236328125	9407.7802734375	584.7493896484375	8.68760871887207	8.278563499450684	327.856201171875
0.6	9396.224609375	3.2006711959838867	9407.40625	9401.0576171875	9393.0859375	9410.142578125	974.7030029296875	14.993274688720703	14.173763275146484	507.9281311035156
0.7	9396.1416015625	3.994006633758545	9405.931640625	9401.349609375	9392.6826171875	9411.546875	1273.7833251953125	20.086231231689453	18.8877010345459	634.3538208007812
0.8	9396.2607421875	6.290589332580566	9395.5537109375	9400.9755859375	9391.49609375	9413.09765625	2344.86865234375	43.360748291015625	39.64060974121094	963.43896484375
0.9	9395.404296875	34.52504348754883	9381.8349609375	9399.287109375	9384.4453125	9420.8779296875	6690.0517578125	284.06390380859375	250.51754760742188	3174.47216796875
1.0	9396.1376953125	10.1849365234375	9386.517578125	9399.818359375	9389.8486328125	9413.9638671875	3524.134033203125	88.05844116210938	78.10639953613281	1338.71826171875
1.25	9396.0849609375	3.3864786624908447	9391.2841796875	9398.5791015625	9392.470703125	9407.0185546875	1243.613525390625	27.842323303222656	24.903074264526367	473.3938293457031
1.5	9397.9833984375	0.8725667595863342	9432.919921875	9399.986328125	9397.9248046875	9383.9951171875	116.7622299194336	2.0090067386627197	2.042128562927246	144.29205322265625
1.75	9402.0517578125	5.737496852874756	9458.6015625	9403.931640625	9401.69140625	9370.1455078125	772.4532470703125	18.55242347717285	19.31741714477539	1232.8572998046875
2.0	9408.9541015625	28.539793014526367	9431.4677734375	9401.0078125	9411.8056640625	9397.21875	2159.029541015625	130.59878540039062	141.10720825195312	3434.947021484375
