h1	h2	h3	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	1e-15	1e-15	0.34314006442482997	6.280434729817415e-32	0.34314006442482997	0.3431400644248309	0.3431400644248315	0.34314006442483186	0.3431400644248326	0.34314006442483325	0.34314006442483397	0.34314006442483436	7.152886616164192e-32	5.74576138019747e-32	5.079586147710805e-32	4.801252660165007e-32	4.801252660165007e-32	5.079586147710804e-32	5.745761380197468e-32	7.152886616164192e-32
3.552713678800501e-15	1e-15	1e-15	0.34314006442482997	1.0661084702740996e-31	0.34314006442483014	0.3431400644248318	0.3431400644248332	0.34314006442483413	0.34314006442483547	0.3431400644248367	0.34314006442483796	0.3431400644248392	1.2142078273974176e-31	9.753472711880898e-32	8.622635296010647e-32	8.150162129105953e-32	8.150162129105953e-32	8.622635296010647e-32	9.753472711880896e-32	1.2142078273974176e-31
7.105427357601002e-15	1e-15	1e-15	0.34314006442483025	7.693884867278062e-32	0.3431400644248314	0.3431400644248336	0.3431400644248361	0.34314006442483863	0.34314006442484113	0.34314006442484357	0.343140064424846	0.3431400644248485	8.762687371334467e-32	7.03888001959654e-32	6.222777988338971e-32	5.881803851991629e-32	5.881803851991629e-32	6.22277798833897e-32	7.038880019596541e-32	8.762687371334467e-32
1.4210854715202004e-14	1e-15	1e-15	0.3431400644248295	8.816638614769481e-32	0.34314006442483197	0.3431400644248373	0.34314006442484196	0.34314006442484707	0.3431400644248521	0.343140064424857	0.343140064424862	0.3431400644248672	1.0041409402398874e-31	8.066050175697461e-32	7.130855952428189e-32	6.740124119418426e-32	6.740124119418426e-32	7.13085595242819e-32	8.066050175697461e-32	1.0041409402398877e-31
2.842170943040401e-14	1e-15	1e-15	0.34314006442482964	5.66217932375824e-32	0.3431400644248346	0.3431400644248446	0.3431400644248545	0.3431400644248644	0.3431400644248745	0.34314006442488415	0.3431400644248942	0.3431400644249039	6.448745739040486e-32	5.180140019884982e-32	4.579544075550491e-32	4.3286101536025185e-32	4.3286101536025185e-32	4.579544075550491e-32	5.180140019884981e-32	6.448745739040487e-32
5.960464477539063e-08	1e-15	1e-15	0.3431400644248267	9.391923358458871e-29	0.3431400747045443	0.3431400954298369	0.3431401161552161	0.34314013688067574	0.34314015760621797	0.343140178331842	0.3431401990575505	0.34314021978334286	1.4710478017132624e-28	5.957135725946387e-29	5.58770095224429e-29	5.957135725946397e-29	5.957135725946408e-29	5.587700952244287e-29	5.957135725946391e-29	1.4710478017132884e-28
1.1920928955078125e-07	1e-15	1e-15	0.34314006442482897	1.8429903113724134e-29	0.3431400849842842	0.34314012643503333	0.34314016788611496	0.34314020933753037	0.34314025078928156	0.34314029224136194	0.34314033369377	0.34314037514651907	2.886657761832649e-29	1.1689771101636395e-29	1.0964824056573676e-29	1.1689771101636388e-29	1.1689771101636418e-29	1.0964824056573662e-29	1.168977110163637e-29	2.8866577618326495e-29
2.384185791015625e-07	1e-15	1e-15	0.3431400644248355	7.372427869308423e-29	0.3431401055438052	0.34314018844597804	0.34314027134947167	0.3431403542542937	0.3431404371604459	0.3431405200679221	0.3431406029767295	0.34314068588685864	1.1547361915669712e-28	4.676204412130796e-29	4.3862072392854754e-29	4.6762044121308004e-29	4.676204412130796e-29	4.3862072392854827e-29	4.6762044121308004e-29	1.1547361915669938e-28
4.76837158203125e-07	1e-15	1e-15	0.34314006442483513	2.9493486747206122e-28	0.3431401466631174	0.3431403124700994	0.3431404782823858	0.3431406440999887	0.34314080992290386	0.343140975751125	0.3431411415846657	0.3431413074235149	4.619536083124085e-28	1.8707212237444886e-28	1.7547075044425043e-28	1.8707212237444906e-28	1.870721223744488e-28	1.7547075044425032e-28	1.8707212237444872e-28	4.619536083124145e-28
9.5367431640625e-07	1e-15	1e-15	0.3431400644248243	1.1800415133958835e-27	0.3431402289027046	0.3431405605272519	0.3431408921730359	0.3431412238400685	0.34314155552834724	0.3431418872378758	0.34314221896864805	0.34314255072067235	1.8482875210517445e-27	7.484800705085786e-28	7.020627017948685e-28	7.484800705085792e-28	7.484800705085762e-28	7.02062701794869e-28	7.484800705085794e-28	1.848287521051784e-27
0.03125	1e-15	1e-15	0.41236134405358665	0.0022762141067150317	0.42111858132012453	0.41582605348765755	0.40940922378666095	0.4004030035733336	0.4099213262857497	0.4134838718377271	0.4102780704991369	0.41845062163830254	0.002312344489361302	0.002312344489361302	0.002312344489361302	0.002312344489361302	0.002312344489361302	0.002312344489361302	0.002312344489361302	0.002312344489361302
0.0625	1e-15	1e-15	0.32356226977453356	0.0030076711466160175	0.39281180938989246	0.4430464550297595	0.3714452925653852	0.4844079669161891	0.39902943186392786	0.4565330256382666	0.4726251771882898	0.5411245135377208	0.0011338713630708907	0.0013257825683585796	0.0009967063455392348	0.0012765073713044456	0.001051475036482543	0.0008752844424909773	0.0008543099946765651	0.003425432740551215
0.125	1e-15	1e-15	0.3337377943808498	0.004000379325296055	0.33621898594916844	0.38625093931606097	0.5463410052276303	0.5445981133193961	0.6803933257032648	0.6620139611260959	0.7958766644678155	0.7294512521253811	0.004579564167270598	0.003994686695297068	0.0033471850960804877	0.003184364161533106	0.00495547681807187	0.003222958728852943	0.0047925559610850306	0.01062411513624289
0.25	1e-15	1e-15	0.23819525463015792	0.08301731307354127	0.28433648520706506	0.5844108782670732	0.6917804131547409	0.9783638878855516	1.1357581024355097	1.2530177811383363	1.6299275974599112	1.6896963147114892	0.09454973312188363	0.07594978562249671	0.06714401337641014	0.06346488935578493	0.06346488935578493	0.06714401337641014	0.0759497856224967	0.09454973312188365
0.5	1e-15	1e-15	0.6066678688145521	1.5162987612057535	1.107734337928061	0.7207829959892722	0.9504345986081184	1.5393047992527567	1.917332336277329	3.4774470998543907	4.666020478036813	3.809413434656444	2.374963970935036	0.961762269221626	0.9021180974869519	0.9617622692216256	0.9617622692216264	0.9021180974869502	0.9617622692216251	2.37496397093505
