h	mu
1.7763568394002505e-15	0.33172786557736184
3.552713678800501e-15	0.3317278486082308
7.105427357601002e-15	0.331727851916832
1.4210854715202004e-14	0.33172786822574807
2.842170943040401e-14	0.33172788049453455
5.684341886080802e-14	0.3317278645766901
1.1368683772161603e-13	0.33172790465431634
2.2737367544323206e-13	0.3317278900232454
4.547473508864641e-13	0.33172787483391075
9.094947017729282e-13	0.33173148287017046
1.8189894035458565e-12	0.3316862289053639
3.637978807091713e-12	0.33195136917270285
7.275957614183426e-12	0.3316826207372188
1.4551915228366852e-11	0.33177828089455336
2.9103830456733704e-11	0.3318640998921159
5.820766091346741e-11	0.3316202780211887
1.1641532182693481e-10	0.333905907848123
2.3283064365386963e-10	0.331087057745412
4.656612873077393e-10	0.33128173750852
9.313225746154785e-10	0.33016094678046864
1.862645149230957e-09	0.33057407520057386
3.725290298461914e-09	0.3317025627561272
7.450580596923828e-09	0.33090719905925164
1.4901161193847656e-08	0.3326403525001759
2.9802322387695312e-08	0.33189837342452533
5.960464477539063e-08	0.33209747599861633
1.1920928955078125e-07	0.3315844549014715
2.384185791015625e-07	0.33198407489742704
4.76837158203125e-07	0.33171756352349324
9.5367431640625e-07	0.3308469136970196
1.9073486328125e-06	0.3329279029294285
3.814697265625e-06	0.33014118770096523
7.62939453125e-06	0.33156397685750855
1.52587890625e-05	0.33384857234917675
3.0517578125e-05	0.3311193428716961
6.103515625e-05	0.3324290642186427
0.0001220703125	0.3405779887881605
0.000244140625	0.34192960381595133
0.00048828125	0.33885613627588945
0.0009765625	0.29756892964834414
0.001953125	0.2794349053915897
0.00390625	0.2617090691182182
0.0078125	0.16538595657182084
0.015625	0.38753986245171756
0.03125	0.2993162970356675
0.0625	-0.7101042741334332
0.125	0.41122324784328607
0.25	-2.2580599782644746
0.5	-16.047494277372646
