h	mu
1.7763568394002505e-15	0.4765501685625777
3.552713678800501e-15	0.47655016856233157
7.105427357601002e-15	0.4765501685623008
1.4210854715202004e-14	0.476550168562523
2.842170943040401e-14	0.47655016856235677
5.684341886080802e-14	0.4765501685624022
1.1368683772161603e-13	0.47655016856229754
2.2737367544323206e-13	0.4765501685624734
4.547473508864641e-13	0.47655016856243265
9.094947017729282e-13	0.4765501685626825
1.8189894035458565e-12	0.4765501685623657
3.637978807091713e-12	0.4765501685621542
7.275957614183426e-12	0.4765501685621271
1.4551915228366852e-11	0.47655016856071053
2.9103830456733704e-11	0.47655016855593746
5.820766091346741e-11	0.47655016841585934
1.1641532182693481e-10	0.476550168455493
2.3283064365386963e-10	0.4765951128904835
4.656612873077393e-10	0.47659511206534966
9.313225746154785e-10	0.47657604971782574
1.862645149230957e-09	0.47656237634011356
3.725290298461914e-09	0.4765125991232098
7.450580596923828e-09	0.4765878268818956
1.4901161193847656e-08	0.4764867829176371
2.9802322387695312e-08	0.4765383619290139
5.960464477539063e-08	0.4764735336987791
1.1920928955078125e-07	0.4765109147563411
2.384185791015625e-07	0.47655910788995
4.76837158203125e-07	0.4765879394982024
9.5367431640625e-07	0.47655192641397764
1.9073486328125e-06	0.4765596153828106
3.814697265625e-06	0.47649942728539585
7.62939453125e-06	0.4765584743350842
1.52587890625e-05	0.476483100944722
3.0517578125e-05	0.4764397958176604
6.103515625e-05	0.4764520732838624
0.0001220703125	0.47599999356467737
0.000244140625	0.4764733367281514
0.00048828125	0.4767692218003376
0.0009765625	0.477871629184656
0.001953125	0.4825957538835977
0.00390625	0.4731212431300529
0.0078125	0.5279388829176614
0.015625	0.5215691980012913
0.03125	0.3789807864568463
0.0625	0.7935294567508338
0.125	-0.061568923076463646
0.25	-2.424057571649841
0.5	-15.735160576831731
