h1	h2	h3	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.52587890625e-05	1.52587890625e-05	1.52587890625e-05	0.8697186638898539	6.800363742588152e-05	0.8704305642027933	0.8681911667992398	0.8689633935906041	0.8717472363874188	0.8702836104978895	0.869915649937917	0.8691723818197756	0.869045307883193	6.908306024216534e-05	6.908306024216534e-05	6.908306024216534e-05	6.908306024216534e-05	6.908306024216534e-05	6.908306024216534e-05	6.908306024216534e-05	6.908306024216534e-05
1.52587890625e-05	1.52587890625e-05	3.0517578125e-05	0.8689596921490625	4.027000104203509e-05	0.869423698735022	0.8677849035573971	0.8686298951370186	0.8703880994259134	0.8692470953735162	0.8693967679777488	0.8679152467914686	0.8688918301944153	4.0909207407781675e-05	4.0909207407781675e-05	4.0909207407781675e-05	4.0909207407781675e-05	4.0909207407781675e-05	4.0909207407781675e-05	4.0909207407781675e-05	4.0909207407781675e-05
1.52587890625e-05	1.52587890625e-05	6.103515625e-05	0.8689069705789538	6.113655828588316e-05	0.8698510858533304	0.8677470580733394	0.868105183009324	0.8705769362907575	0.8693431580996347	0.8694844946015051	0.8677711577122694	0.8683766909914694	6.210697984597655e-05	6.210697984597655e-05	6.210697984597655e-05	6.210697984597655e-05	6.210697984597655e-05	6.210697984597655e-05	6.210697984597655e-05	6.210697984597655e-05
1.52587890625e-05	1.52587890625e-05	0.0001220703125	0.8686588133924703	5.503032111843287e-05	0.8695362833429525	0.8676044399238836	0.8681208046501765	0.8701754662663864	0.8692732446753109	0.8691358970625187	0.8674679296096853	0.867956441608849	5.5903818279042917e-05	5.5903818279042917e-05	5.5903818279042917e-05	5.5903818279042917e-05	5.5903818279042917e-05	5.5903818279042917e-05	5.5903818279042917e-05	5.5903818279042917e-05
1.52587890625e-05	1.52587890625e-05	0.000244140625	0.8688013724695226	4.772892753470999e-05	0.8696858560202542	0.8679287815365822	0.8682909734278059	0.870279543821241	0.8690723732843844	0.869324064181113	0.8676385178031025	0.8681908696816955	4.848652955907046e-05	4.848652955907046e-05	4.848652955907046e-05	4.848652955907046e-05	4.848652955907046e-05	4.848652955907046e-05	4.848652955907046e-05	4.848652955907046e-05
1.52587890625e-05	1.52587890625e-05	0.00048828125	0.8685335836717828	4.619622307490179e-05	0.8693738074417843	0.8676240058811715	0.8679930197418565	0.8700001905516384	0.8687783022508064	0.8690254933138677	0.8673378167893248	0.8681360334038135	4.692949645704309e-05	4.692949645704309e-05	4.692949645704309e-05	4.692949645704309e-05	4.692949645704309e-05	4.692949645704309e-05	4.692949645704309e-05	4.692949645704309e-05
1.52587890625e-05	1.52587890625e-05	0.0009765625	0.868227061099587	4.5430605108480755e-05	0.8690328045066293	0.8672900651615341	0.8676383866195869	0.8696701495275354	0.8684315401220014	0.8686791580346366	0.8669828012462374	0.8680915835785359	4.615172582448838e-05	4.615172582448838e-05	4.615172582448838e-05	4.615172582448838e-05	4.615172582448838e-05	4.615172582448838e-05	4.615172582448838e-05	4.615172582448838e-05
1.52587890625e-05	1.52587890625e-05	0.001953125	0.8682441598569193	4.5246831023115434e-05	0.8690415951257439	0.8672984453042576	0.8676666650378059	0.8696888758836401	0.8684540635084227	0.8686952268515935	0.8670087471920267	0.8680996599518653	4.596503469014902e-05	4.596503469014902e-05	4.596503469014902e-05	4.596503469014902e-05	4.596503469014902e-05	4.596503469014902e-05	4.596503469014902e-05	4.596503469014902e-05
1.52587890625e-05	1.52587890625e-05	0.00390625	0.8682455514012017	4.485335804164693e-05	0.869047212809176	0.8673028188643168	0.867671242950738	0.8696773656884118	0.8684573771798333	0.8686940566614598	0.8670137061822392	0.8681006308734389	4.556531610580006e-05	4.556531610580006e-05	4.556531610580006e-05	4.556531610580006e-05	4.556531610580006e-05	4.556531610580006e-05	4.556531610580006e-05	4.556531610580006e-05
1.52587890625e-05	1.52587890625e-05	0.0078125	0.8682546999161648	4.50175545832939e-05	0.8690520389229924	0.8673228291860557	0.8676723750567211	0.8696938150981891	0.8684694202065918	0.8687066618242711	0.8670183462583235	0.8681021127761746	4.5732118941758876e-05	4.5732118941758876e-05	4.5732118941758876e-05	4.5732118941758876e-05	4.5732118941758876e-05	4.5732118941758876e-05	4.5732118941758876e-05	4.5732118941758876e-05
1.52587890625e-05	1.52587890625e-05	0.015625	0.868281076691385	4.558464855136182e-05	0.8690935813187572	0.8673441591327633	0.8677020187297676	0.8697234518349495	0.8684845440266815	0.8687371806834654	0.8670307048147985	0.8681329729898972	4.630821440138344e-05	4.630821440138344e-05	4.630821440138344e-05	4.630821440138344e-05	4.630821440138344e-05	4.630821440138344e-05	4.630821440138344e-05	4.630821440138344e-05
