h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.05	9395.83935351689	0.00990248732975032	9396.642292855717	9396.087172244585	9395.816750319633	9395.816482549857	1.0359168351080799	0.010348920934844904	0.011371327177119854	0.011372618623097755
0.1	9396.070384586537	0.20652604235777355	9398.52924495044	9395.551635586651	9396.174434582766	9396.174945185381	21.58981437797479	0.21568457520326687	0.23699281182412624	0.23701910930048134
0.2	9395.516695429695	0.7597211025432842	9403.770545227035	9397.809032577648	9395.31883809357	9395.316127606693	79.44833157029166	0.7936974040882047	0.8721095579278326	0.8722073806120881
0.3	9395.249370530866	2.28773188583444	9403.647969882248	9398.634974408451	9394.905216833733	9394.901562479023	239.25785665989957	2.3902118010464077	2.626349218767024	2.6266445079662697
0.4	9395.71327019588	0.1587618966222737	9428.024168092968	9399.615034007522	9395.626231178661	9395.62136482977	16.605126368094425	0.16588700386086805	0.18227556353075428	0.18229611487494543
0.5	9394.977356269132	4.676716794539747	9416.523934076104	9400.772030974878	9394.486486755559	9394.480032285921	489.1349602678115	4.886511023726049	5.369266608105991	5.369871577551643
0.6	9394.691251808741	8.111447183171363	9415.33346955131	9401.548774643266	9394.044012024962	9394.035894680856	848.2521721618838	8.474130718303064	9.31131985123722	9.312363968463632
0.7	9394.505481251681	10.841675984735117	9413.511922055526	9401.947746069782	9393.75670215951	9393.74780443657	1133.7753325292124	11.326537895280996	12.445526350251988	12.446922337398687
0.8	9393.894994360344	22.667732814839557	9395.15967842859	9402.03268591368	9392.808204465662	9392.79957631835	2369.83220227922	23.67487940317286	26.01380388035298	26.016696946592326
0.9	9390.643109023933	157.92969202854263	9291.246440206603	9401.850297730985	9387.762500733535	9387.752947096364	16511.9430781633	164.95609294460115	181.25268465591606	181.27287550052841
1.0	9393.060334757722	45.737554847320666	9362.909348164389	9401.42744588615	9391.51328762828	9391.50561020044	4783.058476603899	47.783270225883676	52.50394729577631	52.509837520524876
1.25	9394.297495952067	14.420366797090667	9382.18105580295	9399.47577886477	9393.429316225716	9393.423820740582	1507.6572611996096	15.061658712328828	16.549652869734253	16.551495439387175
1.5	9396.55499539396	2.624608840942766	9455.209756756112	9399.692935793119	9396.93143412848	9396.926688033089	274.59323001748265	2.743215989145195	3.0142279302807298	3.0145716564915768
1.75	9397.817624668196	21.670332076956235	9526.65624439054	9402.867053024014	9398.895381535915	9398.886973034882	2266.1007601091546	22.638591086637938	24.87513700181219	24.87792363221658
2.0	9400.563792559886	126.45100708420803	9588.868775903038	9400.471167158357	9403.153104669262	9403.148674230233	13221.473622122337	132.0839480247766	145.13298509975888	145.14917801125424
