h1	h2	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1e-15	9.094947017729282e-13	2.935018259348231	7.524961739717861e-14	2.935020045194735	2.93501939001197	2.935020453640317	2.9350187947904134	2.9350197847158874	2.935020384883267	2.935020400536376	2.9350185740384047	5.254880850445764e-14	4.453055760417505e-14	5.144499598119684e-14	5.579575087190267e-14	5.3279793807001217e-14	4.4624158726564994e-14	8.264848652888377e-14	6.722479554208274e-14
1e-15	1.8189894035458565e-12	2.9350169830672144	3.7134325604142646e-13	2.9350207327288573	2.935019571692479	2.9350218160058894	2.9350192332335925	2.935020608786564	2.9350212748221636	2.935021855877063	2.9350185257143013	4.6531291317997694e-14	1.6149685080558457e-13	4.532426298860462e-14	3.8984266888314774e-14	4.9160121566669294e-14	6.418932099902944e-14	2.0354899467896028e-13	7.523624174039933e-14
1e-15	3.637978807091713e-12	2.9350239338567663	2.02465884385174e-11	2.9350235797154216	2.935018460408165	2.9350389969408286	2.9350206060883552	2.935020794601375	2.9350343152953213	2.935046986017429	2.9350219791576233	1.4138731006546007e-11	1.1981348263748398e-11	1.3841740288921653e-11	1.5012350143375107e-11	1.4335409196909379e-11	1.2006532490166557e-11	2.2237320928616414e-11	1.808743772104607e-11
1e-15	7.275957614183426e-12	2.935012720199759	1.614232474967958e-11	2.9350473131352004	2.9350293159563274	2.9350644872066756	2.9350204252947454	2.935040718394482	2.9350593216615994	2.93506932778862	2.935017977236785	1.2607280178614379e-11	1.3884745680867659e-11	1.565594954923911e-11	1.6122174413380512e-11	1.256908662309447e-11	1.3694952935567192e-11	1.7352777526640038e-11	1.684757398049175e-11
1e-15	1.4551915228366852e-11	2.935004601667295	1.3773336636403925e-11	2.935106218233401	2.9350444393588293	2.935127310920235	2.935025319626551	2.935076877647535	2.935127445405372	2.93517056897334	2.935018995583807	1.4410982830013498e-11	1.2623901533874029e-11	3.2536458173044635e-11	1.3794748217158208e-11	1.3172042751295234e-11	1.1873497405268647e-10	3.3503359120974836e-11	1.5690020087130965e-11
1e-15	2.9103830456733704e-11	2.9349912067191424	4.0440761506559576e-10	2.9351757870050696	2.935099609158783	2.935298973879817	2.9350417938006474	2.935173390044333	2.93524734135765	2.935265785492226	2.9350272319325277	4.4803733284230636e-10	2.403622391926546e-10	3.614062958942479e-10	2.983477645469886e-10	2.8526623598887293e-10	3.995298139943093e-10	1.2610381422986545e-09	3.712562489047822e-10
1e-15	5.820766091346741e-11	2.934964046245328	2.590720353405984e-10	2.935288595766491	2.935168379240883	2.9352442781918744	2.935081370757901	2.935256543542533	2.9352853183536993	2.9352294749108245	2.935057246218554	1.809168902762233e-10	1.533113734316197e-10	1.7711664561150632e-10	1.9209557791429706e-10	1.8343355224321384e-10	1.5363362667524398e-10	2.845451227990006e-10	2.3144389578113417e-10
1e-15	1.1641532182693481e-10	2.935201784739728	2.1594631516561133e-09	2.93519978270021	2.9351913561950727	2.935201871916511	2.935205709178154	2.935198842751185	2.9352004628437025	2.935202871838342	2.9352133804946514	2.193740344539544e-09	2.193740344539544e-09	2.193740344539544e-09	2.193740344539544e-09	2.193740344539544e-09	2.193740344539544e-09	2.193740344539544e-09	2.193740344539544e-09
1e-15	2.3283064365386963e-10	2.9353597613548867	3.0598709480697635e-10	2.9350743518179105	2.935208062343679	2.9354095334814088	2.935258791562538	2.93521294839756	2.93526855310013	2.935684884837886	2.9353000495473833	1.1329597898217611e-08	2.199028534247561e-10	6.561702550275278e-09	2.095037360548915e-10	3.6518912384890604e-10	3.0389674685382103e-07	4.216621241046076e-08	2.809392478652535e-10
1e-15	4.656612873077393e-10	2.935316500797318	2.1439872435996105e-08	2.9351790736159886	2.9352684005399423	2.935120183129436	2.9353146889714727	2.9351562638356268	2.9351198269780046	2.93511280182489	2.9353043469156304	1.6744705795843915e-08	1.8441406725506457e-08	2.0793879841052013e-08	2.141310921282385e-08	1.66939779749803e-08	1.8189328272642955e-08	2.3047568572102173e-08	2.2376568592136636e-08
1e-15	9.313225746154785e-10	2.935075863467264	8.884570668927351e-09	2.935060019001389	2.935104957769451	2.9350926677963645	2.9350686444401206	2.9351446309952616	2.935096303688487	2.934969024927489	2.9352518168977624	6.99733385485178e-09	5.976261685377852e-09	7.2206630599108e-09	7.601728559792188e-09	5.254070810885555e-09	7.956646062830721e-09	9.061049521380655e-09	1.0006211374778979e-08
1e-15	1.862645149230957e-09	2.9369030923195387	4.465341669143987e-06	2.931592180019604	2.9341594053350963	2.928851842073901	2.9358777811947876	2.9318566256799294	2.929851018524614	2.926581701624595	2.936141854772144	3.4874662967771898e-06	3.840842903093993e-06	4.330799000535601e-06	4.459767618459291e-06	3.47690107289522e-06	3.7883418248891194e-06	4.800181000362363e-06	4.660429974348589e-06
1e-15	3.725290298461914e-09	2.9370385964402823	1.459088370000793e-05	2.9295920753937836	2.9334380833757594	2.9284590570193947	2.9355515665575367	2.9312913984237188	2.9271449726116407	2.9231280468449863	2.9360680757947852	1.13955927483883e-05	1.2550280865694314e-05	1.4151254086910487e-05	1.4572670015299246e-05	1.136106998073726e-05	1.2378729127222489e-05	1.5684999694256668e-05	1.5228351330344422e-05
1e-15	7.450580596923828e-09	2.937213219310341	1.621515620779212e-05	2.923032458744241	2.930632526628909	2.9133876445155065	2.933259029692266	2.924160601073654	2.9182229265079815	2.9109419418163163	2.934252587903156	1.266416210934496e-05	1.3947391321389759e-05	1.5726586564135626e-05	1.6194914956559994e-05	1.2625796230917281e-05	1.3756742263098828e-05	1.743107034438258e-05	1.6923587404684715e-05
1e-15	1.4901161193847656e-08	2.9334535417468213	8.038724530198839e-05	2.8984335669118195	2.921808839177252	2.8562977173724846	2.928102163315706	2.8986112383396954	2.8745838300669355	2.8413932611337946	2.9314131757745234	5.613655066548472e-05	4.757085791768248e-05	5.495737592488196e-05	5.9605176309062174e-05	5.6917443603685155e-05	4.7670849607293206e-05	8.829126831792506e-05	7.181453297090165e-05
1e-15	2.9802322387695312e-08	2.971343405041309	0.009197075379074719	2.766363259939521	2.8601013489848324	2.6548809571544876	2.9232102114620155	2.7806826161000173	2.7015305811189294	2.5402548645083467	2.9345986926797556	0.007182986832806262	0.007910821683150486	0.008919963534880634	0.009185594742627977	0.00716122608802144	0.007802687432848992	0.009886729787912985	0.009598890510252938
1e-15	5.960464477539063e-08	3.0590770206505975	0.0017797574070427284	2.5917880704551783	2.7722194262211897	2.6735007622051223	2.9005770069748147	2.684085233507323	2.6450513019890547	2.650464048653175	2.9614575248021144	0.0016607208147955434	0.0010439363804954922	0.0018072384930225393	0.0013013622752230264	0.0012458691442753483	0.001603818290998361	0.008753994293530415	0.0015856200367854079
1e-15	1.1920928955078125e-07	2.9955977144362085	0.003359400026934805	2.5967074759918205	2.648547770471303	3.5091883788152427	2.811203091413482	2.6667422219428	3.8628580848448943	3.6057687085315675	2.8895814343033415	0.0023739861715563223	0.0018592342649767322	0.007120164574084074	0.0007223298715102556	0.000852364621598754	0.08667366826371964	0.01377728271034388	0.0012008982207623706
1e-15	2.384185791015625e-07	2.5098277292038755	0.12575052570606512	3.0907812261941947	2.92425848199032	3.516652396319202	2.603966843824766	2.9582100361898194	3.3103673249309593	3.6040567873809555	2.6321599691064574	0.09821213082805075	0.10816373079712589	0.12196160818060178	0.12559355231951413	0.09791459873402522	0.10668522396079155	0.1351800890066154	0.13124449655002227
1e-15	4.76837158203125e-07	3.0862812797047954	0.20555526090535836	3.016229514710188	3.0422429943147824	3.1136328657873342	3.193128574705276	3.0451602532270696	3.038790246282138	3.100550544210721	3.1405152444008544	0.208818042824491	0.208818042824491	0.208818042824491	0.208818042824491	0.208818042824491	0.208818042824491	0.208818042824491	0.208818042824491
1e-15	9.5367431640625e-07	3.4547090172158215	0.10144375065216917	3.5334712853346297	3.458239597725496	3.4025702625573087	3.4596160232489246	3.4633597360214736	3.4855931553766335	3.409917217410336	3.424904860051768	0.10305396891648932	0.10305396891648932	0.10305396891648932	0.10305396891648932	0.10305396891648932	0.10305396891648932	0.10305396891648932	0.10305396891648932
