
h = 2.3283064365386963e-10, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 4.656612873077393e-10, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 9.313225746154785e-10, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 1.862645149230957e-09, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 3.725290298461914e-09, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 7.450580596923828e-09, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 1.4901161193847656e-08, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 2.9802322387695312e-08, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 5.960464477539063e-08, Basis Matrix:
0 0 0
1 0 0
1 0 1
1 1 0
2 0 1

h = 1.1920928955078125e-07, Basis Matrix:
0 0 0
1 0 0
1 1 0

h = 2.384185791015625e-07, Basis Matrix:
0 0 0
1 0 0
1 1 0

h = 4.76837158203125e-07, Basis Matrix:
0 0 0
1 0 0
2 0 0
