h1	h2	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1e-15	0.0625	3.1421494746720224	1.3763581571996096e-20	3.142149474681257	3.142149474452751	3.142149474362719	3.1421494743574914	3.1421494744615286	3.1421494744087117	3.142149474635598	3.1421494743661453	1.4299857035411725e-20	1.1864481321311523e-20	3.0039633474580017e-20	1.2012921862567858e-20	2.3290599198543033e-20	2.1810368465463224e-20	1.5178514090579673e-20	1.1626491935977827e-19
1e-15	0.125	3.142149474671985	1.3685392790410345e-20	3.142149474681259	3.142149474452764	3.142149474362858	3.142149474357477	3.1421494744614935	3.142149474408746	3.1421494746355663	3.142149474366161	1.4218621755728112e-20	1.1797081034997407e-20	2.986898295542723e-20	1.1944678308460542e-20	2.3158288900950022e-20	2.16864671300927e-20	1.509228729584482e-20	1.1560443630611888e-19
1e-15	0.25	3.1421494746719634	1.3638253529025318e-20	3.1421494746812577	3.142149474452758	3.1421494743627263	3.1421494743574816	3.142149474461515	3.1421494744086855	3.1421494746355614	3.142149474366112	1.4169645790058528e-20	1.1756446053232131e-20	2.976609940532349e-20	1.1903534928685791e-20	2.3078520300191272e-20	2.1611768211455874e-20	1.5040301993951658e-20	1.1520623745105068e-19
1e-15	0.5	3.1421494746719874	1.3851298673584346e-20	3.14214947468126	3.142149474452758	3.142149474362785	3.14214947435749	3.1421494744615255	3.142149474408786	3.142149474635583	3.1421494743662035	1.4390991890515488e-20	1.194009520915819e-20	3.023107997906557e-20	1.2089481781356337e-20	2.343903322679877e-20	2.194936879007763e-20	1.5275248741766077e-20	1.1700589086413362e-19
1e-15	1.0	3.14214947467196	1.3589022496434704e-20	3.1421494746812835	3.142149474452766	3.1421494743627645	3.14214947435748	3.1421494744615703	3.1421494744087237	3.1421494746355694	3.14214947436608	1.411849655073672e-20	1.1714007923044479e-20	2.965865047083926e-20	1.1860565840688528e-20	2.299521202449265e-20	2.1533754581419344e-20	1.4986009881251102e-20	1.147903688049287e-19
