h1	h2	h3	mu	var	mu_cv1	mu_cv2	mu_cv3	var_cv1	var_cv2	var_cv3
1e-06	128.0	128.0	0.014926108213115082	2.4313430596684778e-08	0.021350214206865867	0.02173665966302934	0.021928446076021717	2.1105151692739157e-08	9.380067418995189e-09	8.442060677095609e-08
1e-05	64.0	64.0	0.013542287692669156	4.170741625540859e-07	0.02104069559342742	0.022617302439263118	0.023373697409872142	3.590462437025258e-07	1.5957610831223442e-07	1.4361849748100937e-06
0.0001	32.0	32.0	0.020707844420317666	3.170499661636294e-06	0.020375017162046805	0.02535976231752579	0.030214900300424143	2.944928201593411e-06	9.128690397023776e-07	1.4509372057293565e-05
0.001	16.0	16.0	0.013923039546430507	5.512751298405106e-07	0.024363222152599274	0.033884187193063284	0.07198500345964566	3.0638824033583866e-07	2.497942377011645e-07	6.565327239141214e-06
