h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	4.2325128139837584	6.022471122370587e-26	4.232512813983185	4.232512813983552	4.23251281398284	4.232512813983596	4.232512813983261	4.232512813983097	4.232512813982711	4.232512813983598	4.7035964140696194e-26	5.180200572172543e-26	5.841011472368927e-26	6.014953319306337e-26	4.689346943268712e-26	5.1093916059590374e-26	6.47407378848485e-26	6.285589551252684e-26
3.552713678800501e-15	4.232512813983246	1.1902446145031907e-25	4.2325128139823605	4.232512813982899	4.232512813981959	4.232512813983174	4.23251281398259	4.232512813982076	4.232512813981911	4.232512813982882	9.295902274811099e-26	1.0237833785822706e-25	1.1543820313914451e-25	1.1887588415657533e-25	9.267740486177027e-26	1.0097891245656591e-25	1.279496622576948e-25	1.2422457427095453e-25
7.105427357601002e-15	4.232512813983189	1.5537564238593247e-25	4.232512813981276	4.232512813982307	4.232512813980903	4.232512813982888	4.232512813981799	4.23251281398121	4.232512813979117	4.2325128139828365	1.496120915772285e-25	1.3413684965291504e-25	1.845336359654028e-25	1.559780816438661e-25	1.2274696608042554e-25	2.2673532302537833e-25	3.6832848905351313e-25	1.6303067326201867e-25
1.4210854715202004e-14	4.232512813983534	2.618847946407731e-25	4.232512813980278	4.23251281398215	4.232512813978198	4.232512813982701	4.232512813980798	4.232512813979165	4.232512813978115	4.232512813982693	2.045340452353774e-25	2.252589901182334e-25	2.5399409293200923e-25	2.6155788592313435e-25	2.0391441258648454e-25	2.22179889994919e-25	2.8152255945051243e-25	2.7332639632119237e-25
2.842170943040401e-14	4.232512813983507	7.770041088130163e-25	4.232512813976796	4.232512813981097	4.232512813973824	4.232512813982921	4.232512813979927	4.232512813976094	4.232512813972145	4.232512813982761	4.878371397571e-25	4.382688500588301e-25	1.2219371615851079e-24	6.813413254329926e-25	9.398556769407425e-25	8.041563420667795e-25	1.211906143142702e-24	5.31566452915397e-25
5.684341886080802e-14	4.2325128139848225	8.009507704335831e-25	4.232512813971706	4.232512813978958	4.232512813965414	4.232512813981969	4.232512813974405	4.232512813969011	4.232512813961129	4.232512813982187	7.7124006166497065e-25	6.91466251873487e-25	9.512582257280604e-25	8.040563034526061e-25	6.327521839382143e-25	1.1688050255046046e-24	1.8987080764388764e-24	8.404119291051897e-25
1.1368683772161603e-13	4.232512813987471	2.8663315208276835e-24	4.232512813961198	4.232512813976345	4.2325128139509305	4.232512813982496	4.232512813967798	4.232512813957616	4.23251281394384	4.23251281398216	2.7600069573298464e-24	2.4745235119265047e-24	3.404230993341747e-24	2.8774451716411748e-24	2.2644057495729117e-24	4.182757305411015e-24	6.794833102414923e-24	3.007549641995828e-24
2.2737367544323206e-13	4.232512813991081	1.201341109229871e-23	4.232512813938361	4.232512813968949	4.232512813919638	4.232512813981021	4.232512813951348	4.232512813931366	4.232512813900272	4.232512813980692	1.156778200814452e-23	1.0371259566565317e-23	1.426786332250553e-23	1.2059990790072183e-23	9.490610891209464e-24	1.7530834323975264e-23	2.8478605063554763e-23	1.2605286571791424e-23
4.547473508864641e-13	4.232512813997972	3.78904622576141e-23	4.232512813893165	4.2325128139534085	4.232512813854058	4.232512813977898	4.232512813918958	4.232512813881627	4.232512813818085	4.232512813977776	3.648494205487472e-23	3.271109397253375e-23	4.500103530667976e-23	3.8037375259000386e-23	2.993351605237253e-23	5.529249030051874e-23	8.982190836721367e-23	3.9757245583733914e-23
9.094947017729282e-13	4.2325128140151165	1.591156353892376e-22	4.23251281380383	4.232512813925551	4.23251281372627	4.232512813974333	4.23251281385586	4.232512813779566	4.232512813650419	4.232512813974391	1.5321335215524647e-22	1.3736561106933584e-22	1.8897548088257972e-22	1.5973257575284638e-22	1.257015655740672e-22	2.3219299006182892e-22	3.771943959023894e-22	1.6695492784890927e-22
1.8189894035458565e-12	4.2325128140434245	6.490169973942294e-22	4.232512813623381	4.232512813865108	4.232512813468399	4.2325128139625905	4.232512813726633	4.232512813574586	4.23251281331756	4.232512813961952	6.249421656976186e-22	5.603007914549299e-22	7.708123647529255e-22	6.515334363436841e-22	5.127242992623784e-22	9.470923260135463e-22	1.5385387719041057e-21	6.809926988482392e-22
3.637978807091713e-12	4.23251281410538	2.6737788381948343e-21	4.232512813264832	4.232512813748944	4.232512812955032	4.232512813942922	4.232512813470904	4.232512813162627	4.232512812650158	4.232512813941717	2.5745968818178123e-21	2.3082914703788757e-21	3.1755436257756397e-21	2.684145902906045e-21	2.112288871786352e-21	3.9017705688431324e-21	6.3383739202144405e-21	2.8055102939616773e-21
7.275957614183426e-12	4.232512814227196	1.0460111297795438e-20	4.2325128125448055	4.232512813514471	4.23251281192728	4.2325128139029955	4.2325128129586185	4.232512812344783	4.232512811321879	4.232512813900484	1.007210078338162e-20	9.030285281267345e-21	1.2423069283861839e-20	1.0500668373482339e-20	8.263501968209525e-21	1.5264147440151054e-20	2.4796402643850866e-20	1.0975458965694577e-20
1.4551915228366852e-11	4.232512814472229	4.195666854499808e-20	4.23251281110567	4.2325128130452825	4.232512809870993	4.232512813823767	4.23251281193343	4.232512810705129	4.232512808656027	4.232512813819256	4.0400315263301585e-20	3.622147753750589e-20	4.9830311113839896e-20	4.2119347481512704e-20	3.3145824478385666e-20	6.122619124553444e-20	9.94611259113118e-20	4.402378529661806e-20
2.9103830456733704e-11	4.232512814958946	1.6852498213023784e-19	4.232512808227889	4.232512812105708	4.2325128057580725	4.2325128136623045	4.232512809882451	4.232512807424207	4.232512803327158	4.232512813652337	1.622736657583257e-19	1.454887641565791e-19	2.0015059777679114e-19	1.6917840543146312e-19	1.331349621317318e-19	2.459237862150594e-19	3.994998899610064e-19	1.7682785329967433e-19
5.820766091346741e-11	4.232512815934467	6.73097207021037e-19	4.232512802472318	4.232512810227638	4.232512797533532	4.232512813341048	4.232512805781479	4.2325128008672195	4.232512792669609	4.232512813322344	6.4812913678628e-19	5.81089400330308e-19	7.994114975964542e-19	6.757070123656082e-19	5.317476971958172e-19	9.822319014605877e-19	1.5956225405806888e-18	7.062592897209437e-19
1.1641532182693481e-10	4.232512817885156	2.6900247587112213e-18	4.23251279096042	4.232512806472876	4.232512781083675	4.232512812696818	4.232512797579674	4.2325127877492905	4.232512771357856	4.232512812660832	2.5902401712725193e-18	2.322316684140291e-18	3.1948382767032775e-18	2.7004548138638563e-18	2.125123170804837e-18	3.925477785621539e-18	6.376885975676908e-18	2.8225566167885782e-18
2.3283064365386963e-10	4.232512821786058	1.0759424799854824e-17	4.232512767935775	4.232512798960978	4.232512748181673	4.232512811410648	4.2325127811739	4.232512761513889	4.232512728734745	4.23251281133726	1.0360311460375514e-17	9.288684664904987e-18	1.2778552344014632e-17	1.0801142406248476e-17	8.499960036672022e-18	1.5700927250249766e-17	2.5505945582975266e-17	1.1289519014025378e-17
4.656612873077393e-10	4.232512829591058	4.3034865356655206e-17	4.232512721884583	4.232512783938086	4.232512682375546	4.23251280883841	4.232512748363032	4.232512709038784	4.232512643476112	4.23251280869296	4.1438517118153725e-17	3.7152292183872834e-17	5.111084373070394e-17	4.3201724794547915e-17	3.399760140709994e-17	6.279957365362636e-17	1.0201706451559824e-16	4.5155102595868914e-17
