h	mu
1.7763568394002505e-15	5.4487017686461865
3.552713678800501e-15	5.448701768646246
7.105427357601002e-15	5.4487017686462735
1.4210854715202004e-14	5.448701768646166
2.842170943040401e-14	5.448701768646248
5.684341886080802e-14	5.448701768646174
1.1368683772161603e-13	5.4487017686461225
2.2737367544323206e-13	5.44870176864613
4.547473508864641e-13	5.448701768646189
9.094947017729282e-13	5.448701768646188
1.8189894035458565e-12	5.448701768646127
3.637978807091713e-12	5.448701768646254
7.275957614183426e-12	5.448701768646219
1.4551915228366852e-11	5.4487017686461545
2.9103830456733704e-11	5.448701768646208
5.820766091346741e-11	5.448701768646186
1.1641532182693481e-10	5.448701768646191
2.3283064365386963e-10	5.448701768646175
4.656612873077393e-10	5.448701768646164
9.313225746154785e-10	5.448701768646188
1.862645149230957e-09	5.448701768646092
3.725290298461914e-09	5.448701768645729
7.450580596923828e-09	5.448701768644206
1.4901161193847656e-08	5.471221131025683
2.9802322387695312e-08	5.23792872509329
5.960464477539063e-08	5.527158749583944
1.1920928955078125e-07	5.376084919871974
2.384185791015625e-07	5.5219313675162764
4.76837158203125e-07	5.516495282583413
9.5367431640625e-07	7.4084838204580885
1.9073486328125e-06	4.320834600640172
3.814697265625e-06	4.167184565352363
7.62939453125e-06	5.322288429929009
1.52587890625e-05	7.185185168862125
3.0517578125e-05	8.1085115892081
6.103515625e-05	3.0909604051615602
0.0001220703125	6.450613651067914
0.000244140625	10.303031033293824
0.00048828125	3.474256369590807
0.0009765625	9.525953915817139
0.001953125	-6.431271679655229
0.00390625	9.665698034062324
0.0078125	3.8902065110342856
0.015625	3.735653356245248
0.03125	5.510148898635668
0.0625	-2.075368560039995
0.125	51.02303702354212
0.25	62.62546164023894
0.5	-1.8407980078602308
