h	mu
1.7763568394002505e-15	11.351534884504005
3.552713678800501e-15	11.351534884503971
7.105427357601002e-15	11.351534884504094
1.4210854715202004e-14	11.351534884504021
2.842170943040401e-14	11.351534884503947
5.684341886080802e-14	11.351534884504009
1.1368683772161603e-13	11.351534884504062
2.2737367544323206e-13	11.351534884504034
4.547473508864641e-13	11.351534884504069
9.094947017729282e-13	11.351534884504124
1.8189894035458565e-12	11.351534884504094
3.637978807091713e-12	11.351534884504044
7.275957614183426e-12	11.351534884504034
1.4551915228366852e-11	11.351534884504014
2.9103830456733704e-11	11.351534884504096
5.820766091346741e-11	11.351534884504046
1.1641532182693481e-10	11.351534884504018
2.3283064365386963e-10	11.351534884503982
4.656612873077393e-10	11.351534884503648
9.313225746154785e-10	11.35153488450273
1.862645149230957e-09	11.351534884498951
3.725290298461914e-09	11.351534884483748
7.450580596923828e-09	11.35153488392387
1.4901161193847656e-08	11.359033584641727
2.9802322387695312e-08	11.107397184346246
5.960464477539063e-08	11.54035044283007
1.1920928955078125e-07	11.230222823391927
2.384185791015625e-07	11.654239570040467
4.76837158203125e-07	11.211752426229918
9.5367431640625e-07	10.705369577528101
1.9073486328125e-06	10.772208489676277
3.814697265625e-06	10.817480257590075
7.62939453125e-06	9.155635083420318
1.52587890625e-05	14.965629722045765
3.0517578125e-05	10.237704288523116
6.103515625e-05	9.441222745043852
0.0001220703125	10.512039278325142
0.000244140625	10.375918643023775
0.00048828125	7.606089645519151
0.0009765625	11.589794881784462
0.001953125	12.214594301120192
0.00390625	13.522685013300297
0.0078125	8.161471300659395
0.015625	10.994862928216847
0.03125	9.660775393020302
0.0625	27.328439799536447
0.125	46.73446980010467
0.25	7.865588910880687
0.5	3.7114343860006462
