h1	h2	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	1e-15	4.232512813981788	6.165127074970892e-25	4.232512813976945	4.232512813964128	4.2325128139490715	4.232512813967348	4.232512813952579	4.232512813938491	4.232512813976068	4.232512813934115	5.664982654359733e-25	3.7396621343342144e-25	3.6553902768599824e-25	3.525628669731356e-25	3.8688294021035036e-25	4.117123270682879e-25	4.443174636011391e-25	6.99627788986758e-25
3.552713678800501e-15	1e-15	4.23251281398366	6.878549214625704e-25	4.232512813972994	4.232512813942209	4.232512813911967	4.232512813949475	4.23251281391964	4.232512813891297	4.232512813969256	4.232512813883892	7.168159143007072e-25	5.405035328256505e-25	5.5545335487272865e-25	5.5987122987376135e-25	5.378736373644611e-25	6.737633902361974e-25	6.78996325769658e-25	7.613612642991541e-25
7.105427357601002e-15	1e-15	4.232512813983512	4.917573923641185e-25	4.232512813961639	4.232512813900711	4.23251281383978	4.232512813915547	4.232512813854824	4.2325128137986265	4.232512813954411	4.232512813784151	5.124620233465878e-25	3.8641376193220837e-25	3.971016050758571e-25	4.002600075565417e-25	3.8453361178159984e-25	4.816831536924454e-25	4.854242546892556e-25	5.443081357660589e-25
1.4210854715202004e-14	1e-15	4.2325128139838	1.8267376889707286e-24	4.232512813939486	4.232512813818573	4.232512813697476	4.232512813848066	4.232512813727057	4.2325128136155366	4.2325128139267365	4.232512813585451	1.9036494555027563e-24	1.435416311822041e-24	1.475118584095874e-24	1.4868511435611588e-24	1.4284320931923442e-24	1.7893147813439415e-24	1.803211898693341e-24	2.0219486304763604e-24
2.842170943040401e-14	1e-15	4.232512813982711	2.834158752881628e-25	4.232512813896169	4.232512813652281	4.232512813410708	4.23251281371166	4.23251281347046	4.232512813247264	4.232512813868005	4.232512813188185	2.95348631569069e-25	2.2270289427661185e-25	2.2886264798145684e-25	2.3068293867250705e-25	2.2161930222719466e-25	2.776097619173648e-25	2.797658808288772e-25	3.1370258814610935e-25
5.684341886080802e-14	1e-15	4.232512813983129	1.0188154151665233e-24	4.232512813809945	4.232512813321721	4.232512812837822	4.232512813440529	4.232512812957496	4.232512812510586	4.2325128137534	4.232512812393179	1.0617109517417112e-24	8.005660990603267e-25	8.227090083865753e-25	8.292525381526498e-25	7.966708328457025e-25	9.979437621641673e-25	1.0056945177693273e-24	1.1276892384942551e-24
1.1368683772161603e-13	1e-15	4.232512813984248	1.1690357889541552e-24	4.232512813636317	4.23251281266089	4.232512811692105	4.232512812898193	4.232512811932015	4.232512811038781	4.232512813525627	4.232512810800857	1.2182561057026906e-24	9.186064593182175e-25	9.440142545759292e-25	9.515226023774563e-25	9.141368512374884e-25	1.145086691825115e-24	1.1539802662243474e-24	1.2939626344412616e-24
2.2737367544323206e-13	1e-15	4.232512813983274	1.6111141955528514e-24	4.232512813288635	4.232512811338332	4.232512809401561	4.232512811812349	4.232512809880568	4.232512808095129	4.232512813065919	4.232512807621495	1.6789474918235472e-24	1.2659834033465694e-24	1.300999319885806e-24	1.3113469977263715e-24	1.2598235842071892e-24	1.5781085932266906e-24	1.5903653300171249e-24	1.7832829315929837e-24
4.547473508864641e-13	1e-15	4.232512813983431	3.955646448785228e-25	4.232512812594023	4.232512808693057	4.232512804817839	4.232512809641482	4.232512805778077	4.232512802204983	4.232512812147862	4.2325128012591255	4.109771748318223e-25	3.409845988112109e-25	8.633375611933731e-25	3.4525077253063784e-25	6.693706541998369e-25	6.268288970847795e-25	4.362297345801293e-25	3.341447957990459e-24
9.094947017729282e-13	1e-15	4.2325128139831785	1.2191369363708307e-24	4.2325128112046375	4.232512803401987	4.232512795656335	4.232512805299539	4.232512797572962	4.232512790428182	4.232512810312509	4.232512788532944	1.2704666789971833e-24	9.579750039522404e-25	9.84471696323083e-25	9.923018279772646e-25	9.533138427167977e-25	1.1941614572806084e-24	1.2034361819288307e-24	1.3494177482302146e-24
1.8189894035458565e-12	1e-15	4.232512813983588	5.849905946889456e-25	4.23251280842621	4.232512792821056	4.232512777329484	4.232512796616042	4.23251278116168	4.2325127668721425	4.232512806642055	4.2325127630829	6.096206553231566e-25	4.596746686450198e-25	4.723888399287242e-25	4.761460498337146e-25	4.574380573163697e-25	5.730063622949018e-25	5.774567456158196e-25	6.475045316655852e-25
3.637978807091713e-12	1e-15	4.232512813983577	9.100046650941152e-25	4.23251280286879	4.232512771658627	4.2325127406748155	4.232512779247854	4.232512748339773	4.232512719759657	4.232512799300171	4.23251271218148	9.48318905155703e-25	7.150646466632232e-25	7.348426658074946e-25	7.406873384779967e-25	7.115853997119862e-25	8.91362130521486e-25	8.98285095814023e-25	1.0072506290439984e-24
7.275957614183426e-12	1e-15	4.232512813982862	5.458719927248812e-25	4.2325127917531455	4.232512729333716	4.232512667366444	4.232512744512738	4.23251268269669	4.232512625538017	4.232512784616308	4.232512610380459	5.688550293777706e-25	4.2893600282894965e-25	4.407999713738997e-25	4.4430593484842925e-25	4.268489547738088e-25	5.346891517055432e-25	5.388419357568331e-25	6.042055927183323e-25
1.4551915228366852e-11	1e-15	4.232512813983375	1.5565839395232571e-24	4.232512769523904	4.2325126446845545	4.232512520751818	4.232512675042145	4.232512551410592	4.2325124370959495	4.232512755249688	4.232512406782374	1.430306449522086e-24	9.441975723712686e-25	9.22920440804797e-25	8.90157963865244e-25	9.768099892893305e-25	1.0394997349203333e-24	1.1218218529494077e-24	1.7664346034361245e-24
2.9103830456733704e-11	1e-15	4.232512813982955	6.97759212283124e-25	4.232512725064436	4.232512475387027	4.2325122275285105	4.232512536102582	4.2325122888458395	4.2325120602232165	4.232512696516433	4.232511999592385	6.374941339329517e-25	4.426939009186952e-25	4.810732291770984e-25	4.0811312072533533e-25	4.362093476785668e-25	1.1101103249791835e-24	4.921844088691474e-25	9.839669380998188e-24
5.820766091346741e-11	1e-15	4.2325128139808665	9.744550469983777e-25	4.232512636146586	4.232512136803731	4.232511641109276	4.232512258231853	4.232511763735246	4.232511306518674	4.232512579053492	4.232511185279096	5.258921160291592e-25	3.5120068297573516e-25	3.830328183362205e-25	3.902176836109844e-25	3.26067775007258e-25	3.137547928625456e-25	3.2604151867646124e-25	8.317253714216278e-25
1.1641532182693481e-10	1e-15	4.2325128139822015	8.936985133262185e-25	4.23251245831107	4.2325114596704125	4.232510468375059	4.232511702508712	4.232510713602738	4.23250979928944	4.232512344126248	4.232509556841996	8.211974408076518e-25	5.421024496583664e-25	5.298863780633908e-25	5.11076099870022e-25	5.608265722550399e-25	5.968193196094712e-25	6.440838150397546e-25	1.014182363632987e-24
2.3283064365386963e-10	1e-15	4.232512813983557	1.726669142595025e-24	4.232512102653259	4.2325101055454795	4.232508123329988	4.232510591160861	4.232508613674031	4.232506785526539	4.232511874292826	4.232506300790456	1.5865935322452686e-24	1.0473683887718427e-24	1.023766342273779e-24	9.874239668129156e-25	1.0835443074152642e-24	1.1530840518452049e-24	1.244401363648772e-24	1.9594498213179585e-24
4.656612873077393e-10	1e-15	4.232512813981603	1.2130474125306112e-24	4.23251139137254	4.232507397859083	4.232503434929193	4.232508368843741	4.23250441517067	4.232500760791538	4.232510934691522	4.232499791942123	1.1146392389542593e-24	7.358141074187388e-25	7.19232817622897e-25	6.937009867524154e-25	7.612289963651972e-25	8.100831774980038e-25	8.742368859705428e-25	1.376584243673354e-24
9.313225746154785e-10	1e-15	4.232512813977787	1.4181570118790108e-24	4.232509968969645	4.232501984739506	4.232494064877084	4.232503925727731	4.232496023575617	4.232488722466578	4.232509055761204	4.2324867872487015	1.295671572877669e-24	8.997508720087998e-25	9.777547342620384e-25	8.294673486326011e-25	8.86571376153344e-25	2.256237844825076e-24	1.0003375925219357e-24	1.9998583869031823e-23
1.862645149230957e-09	1e-15	4.2325128139838135	2.587829712927423e-22	4.232507124788858	4.232491167494672	4.2324753517225915	4.232495045557336	4.23247926200659	4.232464690279312	4.232505298988579	4.232460829753327	1.3965952024637663e-22	9.326726413952869e-23	1.0172082451317626e-22	1.036288866550431e-22	8.659279657808065e-23	8.332287651895952e-23	8.658582376664125e-23	2.208786988985812e-22
3.725290298461914e-09	1e-15	4.232512813987946	2.8704378787373745e-22	4.232501438904684	4.232469568915894	4.2324380327810385	4.232477309418034	4.232445825026129	4.232416802867598	4.23249778977374	4.2324091211580885	1.5491126600750623e-22	1.0345266788418007e-22	1.1282941311028408e-22	1.1494584829123694e-22	9.604930420336357e-23	9.242228718936083e-23	9.604156991467498e-23	2.450001175723257e-22
7.450580596923828e-09	1e-15	4.232512814012041	3.0079419010318107e-21	4.232490077069664	4.232426514739892	4.232363820843735	4.232441933603392	4.232379293195598	4.232321728309094	4.232482788654393	4.232306519956822	1.353621719322148e-21	8.615088858596852e-22	9.379181297469242e-22	1.0310545001397138e-21	1.2966908863173364e-21	3.6506576115116834e-21	8.049675437154007e-22	1.665216592776841e-20
1.4901161193847656e-08	1e-15	4.232512814325521	6.846144544424239e-20	4.232467393060249	4.232340972940613	4.232217072814943	4.232371564720639	4.232247578055292	4.232134320607243	4.2324528554183685	4.23210450422963	3.080873984221975e-20	1.9608139229259095e-20	2.134723109137392e-20	2.346703617747956e-20	2.951298106560355e-20	8.308980197401322e-20	1.8321245353675976e-20	3.79007104093367e-19
2.9802322387695312e-08	1e-15	4.232512800649002	1.522346925489519e-16	4.232422179452228	4.232172110077327	4.2319300752722215	4.232232334783908	4.231989392246527	4.231770088856637	4.2323932658002805	4.231712672737709	6.85080340806099e-17	4.3601753186106553e-17	4.746889495073176e-17	5.218261189684124e-17	6.56267125178896e-17	1.8476312288465925e-16	4.0740144112246064e-17	8.427813580495472e-16
5.960464477539063e-08	1e-15	4.232513261881677	1.0987619558986627e-13	4.2323324609942485	4.231843019281846	4.23137987438016	4.231959756967697	4.231492399149082	4.231078345553373	4.232275104362584	4.230971593573095	1.6510531155352637e-14	8.805195959545578e-15	9.160933968170832e-15	1.139581646287472e-14	1.018977978948011e-14	1.9995241724337537e-14	8.90140143021295e-15	7.406627694908643e-14
1.1920928955078125e-07	1e-15	4.232512958997169	2.491763936606341e-13	4.232155273136411	4.231215438706526	4.230357650729595	4.231435690850564	4.230564152704833	4.229809574406008	4.2320431866420885	4.229612220606455	1.1213334216499709e-13	7.13669626435434e-14	7.769666596246067e-14	8.54120360249951e-14	1.0741722060315528e-13	3.024186397396311e-13	6.668310630861249e-14	1.3794570470565293e-12
