h	mu
1.7763568394002505e-15	2.7670981812817743
3.552713678800501e-15	2.7670981812817494
7.105427357601002e-15	2.7670981812817756
1.4210854715202004e-14	2.7670981812817206
2.842170943040401e-14	2.767098181281768
5.684341886080802e-14	2.7670981812817543
1.1368683772161603e-13	2.767098181281739
2.2737367544323206e-13	2.767098181281774
4.547473508864641e-13	2.7670981812817694
9.094947017729282e-13	2.7670981812818156
1.8189894035458565e-12	2.7670981812817965
3.637978807091713e-12	2.7670981812817823
7.275957614183426e-12	2.7670981812817854
1.4551915228366852e-11	2.7670981812817854
2.9103830456733704e-11	2.76709818128177
5.820766091346741e-11	2.767098181281752
1.1641532182693481e-10	2.7670981812817925
2.3283064365386963e-10	2.767098181281823
4.656612873077393e-10	2.72203080705655
9.313225746154785e-10	2.72203080903414
1.862645149230957e-09	2.722030812991595
3.725290298461914e-09	2.764376481506648
7.450580596923828e-09	2.7643794402688777
1.4901161193847656e-08	2.7166033610607943
2.9802322387695312e-08	2.93393703401985
5.960464477539063e-08	3.0282688525111086
1.1920928955078125e-07	4.646357374393023
2.384185791015625e-07	7.257912656994524
4.76837158203125e-07	5.2326570587407835
9.5367431640625e-07	1.2097692885855569
1.9073486328125e-06	-1.6455974997247977
3.814697265625e-06	13.097834209525812
7.62939453125e-06	-2.8542991606186927
1.52587890625e-05	4.489194835384168
3.0517578125e-05	1.913846763423259
6.103515625e-05	4.300466279936391
0.0001220703125	-0.2031559672350526
0.000244140625	6.028961026189991
0.00048828125	-9.862327094878912
0.0009765625	11.548797726850784
0.001953125	-3.3942839604337376
0.00390625	0.7023092642011609
0.0078125	9.424521271228693
0.015625	1.5538482603943273
0.03125	9.461012460812888
0.0625	7.881527067052712
0.125	-28.569309790936614
0.25	-0.5148009784863901
0.5	2.363520068950572
