h1	h2	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1e-15	1.7763568394002505e-15	4.232512813982507	5.772659860756897e-25	4.232512813979628	4.232512813971235	4.232512813962241	4.232512813973651	4.232512813964861	4.232512813957255	4.232512813978578	4.232512813957614	6.0123506360866255e-25	4.698547903355576e-25	6.830207338088115e-25	5.009191699613028e-25	4.511216457125986e-25	8.179340476361379e-25	5.7714248874860675e-25	2.1999232970750103e-24
1e-15	3.552713678800501e-15	4.232512813980434	1.6264573634395037e-25	4.23251281397832	4.232512813971825	4.2325128139628285	4.232512813973892	4.232512813965902	4.232512813956675	4.232512813977784	4.232512813954342	1.4859811379516383e-25	1.0319071998246843e-25	1.1213683491020883e-25	9.513003606904031e-26	1.0167918861457587e-25	2.587636365824098e-25	1.14726820066764e-25	2.2935996310488155e-24
1e-15	7.105427357601002e-15	4.232512813981675	4.50336004987579e-25	4.232512813979048	4.232512813970856	4.2325128139607715	4.232512813972998	4.232512813964644	4.232512813956084	4.232512813978578	4.23251281395639	3.635719667283629e-25	2.4807016518044634e-25	6.561468037803352e-25	2.9019312117260363e-25	2.814927542730976e-25	2.939652623876585e-24	3.2700722942315187e-25	1.1872827290824688e-24
1e-15	1.4210854715202004e-14	4.2325128139801835	2.1208534973159583e-24	4.232512813977542	4.232512813969568	4.232512813956288	4.232512813971412	4.232512813964192	4.232512813954221	4.23251281397615	4.232512813960383	2.2034890879258845e-24	1.828217936771677e-24	4.628857785264074e-24	1.851091390125385e-24	3.588887711125866e-24	3.360796460991135e-24	2.3388828354505717e-24	1.7915457510060583e-23
1e-15	2.842170943040401e-14	4.232512813977583	1.026583540496062e-23	4.232512813974211	4.232512813967486	4.232512813954297	4.232512813969483	4.232512813960446	4.232512813948481	4.232512813974683	4.232512813964578	1.0692090564103101e-23	8.355683615810124e-24	1.2146529677113726e-23	8.908118396114845e-24	8.022541903054846e-24	1.4545766609648894e-23	1.0263639184737419e-23	3.9122434053041884e-23
1e-15	5.684341886080802e-14	4.232512813981996	1.436328145843845e-24	4.232512813967013	4.232512813965613	4.232512813944433	4.232512813970454	4.232512813955675	4.232512813942387	4.23251281395874	4.23251281395556	1.1312271505408643e-24	9.661550552642218e-25	1.167331767743929e-24	1.2289368945739652e-24	8.494017400665948e-25	1.2863147936377613e-24	1.464858679548915e-24	1.6176586991561482e-24
1e-15	1.1368683772161603e-13	4.232512813966922	4.467905249155886e-23	4.232512813951283	4.2325128139566335	4.232512813924072	4.232512813959959	4.232512813945508	4.232512813925374	4.232512813950663	4.232512813966114	4.3021714280977365e-23	3.8571730128773e-23	5.306358114534763e-23	4.4852286949771655e-23	3.529651145103463e-23	6.519888988763799e-23	1.0591472153455393e-22	4.6880295370334056e-23
1e-15	2.2737367544323206e-13	4.232512813965994	3.698857725407313e-23	4.232512813927833	4.232512813945498	4.232512813888308	4.232512813953749	4.232512813925638	4.232512813892689	4.2325128139102	4.232512813960554	3.561651184490173e-23	3.193249051019886e-23	4.3929901399392633e-23	3.713199336930704e-23	2.922102568877283e-23	5.397639477570225e-23	8.768392885154937e-23	3.881092660429575e-23
1e-15	4.547473508864641e-13	4.23251281396645	4.115536611326824e-23	4.232512813878258	4.2325128139233925	4.232512813813471	4.232512813943509	4.232512813885697	4.232512813830486	4.232512813830826	4.232512813952611	3.962873658497024e-23	3.552970769404171e-23	4.8878635233602857e-23	4.131493815326458e-23	3.251279448155129e-23	6.00568730505499e-23	9.756158419794048e-23	4.3183004380604666e-23
1e-15	9.094947017729282e-13	4.232512813965998	5.0159279635885446e-23	4.232512813782757	4.232512813879259	4.232512813665367	4.232512813921292	4.232512813804996	4.232512813703714	4.232512813672567	4.2325128139360455	4.82986562314052e-23	4.330284752422978e-23	5.957223478841339e-23	5.035376262394139e-23	3.962589825238945e-23	7.319603186395227e-23	1.1890597133885805e-22	5.263052177164576e-23
