h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	mu_cv9	mu_cv10	mu_cv11	mu_cv12	mu_cv13	mu_cv14	mu_cv15	mu_cv16	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8	var_cv9	var_cv10	var_cv11	var_cv12	var_cv13	var_cv14	var_cv15	var_cv16
1.7763568394002505e-15	5.4487017686461945	2.6973277632218184e-29	5.4487017686462815	5.4487017686464645	5.4487017686466475	5.448701768646831	5.4487017686470125	5.4487017686471955	5.448701768647373	5.448701768647559	5.448701768647733	5.448701768647924	5.448701768648102	5.448701768648278	5.448701768648466	5.4487017686486485	5.448701768648825	5.448701768649014	2.7952607919978636e-29	2.655283468310962e-29	2.589341683368303e-29	2.457622649187242e-29	2.4097875990617356e-29	2.4648188622662284e-29	2.3195352588770297e-29	2.3280989060292674e-29	2.667638528270222e-29	2.879627239081083e-29	2.346773831830247e-29	2.9485747700088753e-29	2.647510912519693e-29	2.608774346279615e-29	3.6587259437760945e-29	3.36189629436167e-29
3.552713678800501e-15	5.448701768646192	3.662687835001752e-29	5.44870176864637	5.448701768646728	5.448701768647099	5.448701768647465	5.448701768647817	5.448701768648185	5.448701768648548	5.448701768648915	5.44870176864927	5.448701768649639	5.44870176865	5.44870176865036	5.448701768650718	5.448701768651083	5.448701768651445	5.448701768651807	3.793832552415183e-29	3.6002815798461505e-29	3.451736200552373e-29	3.3352126208651504e-29	3.2488652639256527e-29	3.186004162654504e-29	3.14606691594478e-29	3.126157364197549e-29	3.126157364197549e-29	3.14606691594478e-29	3.186004162654504e-29	3.2488652639256527e-29	3.33521262086515e-29	3.451736200552373e-29	3.600281579846151e-29	3.793832552415184e-29
7.105427357601002e-15	5.448701768646198	5.815077061291385e-29	5.4487017686465515	5.44870176864728	5.448701768648002	5.448701768648733	5.448701768649451	5.448701768650182	5.448701768650893	5.448701768651628	5.448701768652342	5.44870176865308	5.448701768653793	5.44870176865451	5.448701768655244	5.448701768655965	5.448701768656694	5.448701768657412	6.026207542704643e-29	5.724435197804147e-29	5.582273549439009e-29	5.298304969629913e-29	5.195179014192334e-29	5.313819040324012e-29	5.000607067730375e-29	5.0190691429720184e-29	5.751071050791534e-29	6.208090292686161e-29	5.059329779490615e-29	6.356731926453348e-29	5.707678609485259e-29	5.624167765587365e-29	7.887722656215578e-29	7.247797724230581e-29
1.4210854715202004e-14	5.448701768646173	4.075538855351127e-28	5.448701768646898	5.448701768648355	5.448701768649796	5.448701768651246	5.4487017686526915	5.448701768654146	5.448701768655582	5.448701768657048	5.44870176865848	5.448701768659944	5.448701768661381	5.448701768662837	5.448701768664272	5.448701768665735	5.448701768667174	5.448701768668632	4.221465949215033e-28	4.0060982889798776e-28	3.8408091646080834e-28	3.7111512745630653e-28	3.615071012166469e-28	3.5451243303137396e-28	3.500685435143426e-28	3.4785317176021586e-28	3.4785317176021586e-28	3.5006854351434263e-28	3.5451243303137396e-28	3.615071012166469e-28	3.711151274563066e-28	3.8408091646080834e-28	4.0060982889798776e-28	4.221465949215033e-28
2.842170943040401e-14	5.448701768646153	7.233226134948889e-28	5.448701768647585	5.448701768650506	5.448701768653359	5.448701768656306	5.4487017686591575	5.448701768662114	5.448701768664971	5.448701768667918	5.448701768670744	5.448701768673713	5.448701768676598	5.4487017686794275	5.448701768682334	5.44870176868528	5.448701768688197	5.448701768691017	7.504522773155331e-28	7.15859912018878e-28	6.943870193020197e-28	6.667277697893963e-28	6.888039511056642e-28	6.8023185699763275e-28	6.458447383081961e-28	6.863954695256716e-28	7.161141009214179e-28	8.511488531521497e-28	1.6663584084662576e-27	8.793233618213318e-28	7.64480658787075e-28	7.009505114891808e-28	9.92192974308663e-28	9.016587333089664e-28
5.684341886080802e-14	5.448701768646045	2.5755416855065676e-27	5.44870176864899	5.448701768654824	5.448701768660494	5.4487017686664085	5.4487017686721595	5.448701768678056	5.4487017686837484	5.44870176868959	5.448701768695252	5.448701768701249	5.448701768706918	5.448701768712661	5.448701768718536	5.4487017687243995	5.448701768729965	5.448701768735823	2.8042106521033025e-27	2.2133884589948034e-27	2.298803177947305e-27	2.0928069312968904e-27	2.1783265710510943e-27	2.2817628355038597e-27	2.0006794991932485e-27	2.6208271990886797e-27	2.2133096919132723e-27	3.0471043063802274e-27	5.3377894648063994e-27	2.8115641468931924e-27	2.3444342142312002e-27	2.1507831663876627e-27	6.4517635256292235e-27	2.908682858522982e-27
1.1368683772161603e-13	5.448701768646012	1.3611728755429777e-26	5.448701768651775	5.448701768663417	5.4487017686749555	5.448701768686608	5.448701768698105	5.448701768709774	5.448701768721283	5.448701768732956	5.448701768744461	5.448701768756122	5.448701768767625	5.448701768779322	5.448701768790795	5.44870176880249	5.448701768813961	5.448701768825688	1.4099104803172665e-26	1.3379806993028265e-26	1.2827764476192163e-26	1.2394725289735414e-26	1.207383067508198e-26	1.184021855788388e-26	1.1691798874323492e-26	1.1617808561680487e-26	1.1617808561680485e-26	1.169179887432349e-26	1.184021855788388e-26	1.2073830675081978e-26	1.2394725289735413e-26	1.282776447619216e-26	1.3379806993028262e-26	1.4099104803172665e-26
2.2737367544323206e-13	5.4487017686456385	1.5172439413838489e-26	5.448701768657232	5.448701768680639	5.448701768703537	5.448701768727072	5.448701768749911	5.448701768773522	5.448701768796431	5.448701768819839	5.448701768842435	5.448701768866424	5.448701768889091	5.4487017689122	5.4487017689355834	5.448701768958676	5.4487017689819774	5.448701769004789	1.6519521490217994e-26	1.3039005535172634e-26	1.3542181102335704e-26	1.232866334435508e-26	1.2832456996838227e-26	1.3441796952170652e-26	1.1785943383808183e-26	1.543921502652445e-26	1.303854152063967e-26	1.795040077835411e-26	3.1444758869306347e-26	1.6562840709164172e-26	1.3810992178974074e-26	1.2670199619736399e-26	3.800714690656188e-26	1.7134964148844848e-26
4.547473508864641e-13	5.4487017686452095	6.998943939878458e-26	5.448701768668268	5.448701768715061	5.448701768760921	5.448701768807911	5.448701768853659	5.448701768900928	5.448701768946527	5.448701768993632	5.448701769038766	5.4487017690867106	5.448701769132066	5.448701769178139	5.448701769225001	5.448701769271107	5.448701769317497	5.448701769363336	7.620343813546498e-26	6.014805284982873e-26	6.24691677941263e-26	5.687129224722719e-26	5.919525837740673e-26	6.200610248188866e-26	5.43677616841351e-26	7.122005730193638e-26	6.014591238209322e-26	8.280398775655213e-26	1.4505255122557216e-25	7.640326676990798e-26	6.370917515516692e-26	5.844677604362212e-26	1.7532440450619253e-25	7.904243359852194e-26
9.094947017729282e-13	5.448701768644151	2.4291528955288635e-25	5.448701768690281	5.448701768783915	5.4487017688756385	5.4487017689695785	5.448701769061062	5.448701769155589	5.448701769246834	5.4487017693409685	5.448701769431337	5.448701769527284	5.448701769617829	5.448701769710132	5.448701769803845	5.448701769896011	5.448701769989112	5.448701770080427	2.6448247619373445e-25	2.0875837554304205e-25	2.168143667557584e-25	1.9738558477040627e-25	2.054514717138224e-25	2.152071865101334e-25	1.886964760011112e-25	2.471864468423434e-25	2.087509465316908e-25	2.8739128123900702e-25	5.034399872898064e-25	2.6517602983573705e-25	2.211181124314256e-25	2.0285368261309037e-25	6.085057810457196e-25	2.7433589709368557e-25
1.8189894035458565e-12	5.448701768642221	7.442303538041161e-25	5.448701768734518	5.448701768921506	5.448701769105027	5.448701769293068	5.448701769475918	5.448701769665011	5.448701769847459	5.448701770035791	5.448701770216503	5.448701770408336	5.448701770589535	5.448701770774046	5.448701770961428	5.4487017711457835	5.448701771332069	5.448701771514658	8.103067007225062e-25	6.395823003810765e-25	6.642637982049399e-25	6.047389765374531e-25	6.2945079235065895e-25	6.5933980875565545e-25	5.781177683561254e-25	7.573160879566897e-25	6.395595397892815e-25	8.80493423490981e-25	1.5424114330121532e-24	8.124315717971902e-25	6.774493748427074e-25	6.214918305862311e-25	1.8643061684303863e-24	8.404950636536695e-25
3.637978807091713e-12	5.44870176863823	3.203208835520911e-24	5.448701768822849	5.448701769196789	5.448701769563896	5.448701769939882	5.448701770305626	5.448701770683743	5.448701771048717	5.448701771425377	5.448701771786795	5.448701772170454	5.448701772533077	5.448701772901805	5.4487017732766505	5.4487017736453405	5.448701774018056	5.448701774383131	3.487605107704744e-24	2.7527977932524485e-24	2.8590283326266908e-24	2.602830189506756e-24	2.7091912191933536e-24	2.8378352081735607e-24	2.488251028870806e-24	3.2595305631185034e-24	2.752699830399459e-24	3.789692666158983e-24	6.638624593822194e-24	3.496750670991663e-24	2.9157797878335907e-24	2.6749354050961782e-24	8.024077438266122e-24	3.61753750078268e-24
7.275957614183426e-12	5.448701768630289	1.3978371955363196e-23	5.44870176899946	5.448701769747348	5.448701770481581	5.448701771233571	5.448701771965011	5.448701772721369	5.448701773451234	5.448701774204592	5.448701774927423	5.448701775694782	5.44870177642001	5.448701777157358	5.448701777907098	5.448701778644493	5.448701779389667	5.448701780119962	1.521943898515546e-23	1.2012838827515298e-23	1.2476414594391723e-23	1.1358400402157086e-23	1.1822545611182432e-23	1.2383930653533114e-23	1.0858392376473012e-23	1.422415238928228e-23	1.2012411330818327e-23	1.6537708405598656e-23	2.897006364849683e-23	1.525934899163029e-23	1.2724070301722846e-23	1.1673057851978557e-23	3.501599327116028e-23	1.5786446449468487e-23
1.4551915228366852e-11	5.448701768608426	6.413046102418106e-23	5.448701769347135	5.448701770852624	5.448701772314016	5.44870177383098	5.4487017752794555	5.448701776801459	5.448701778255739	5.448701779765777	5.44870178120694	5.448701782737162	5.448701784170528	5.448701785666532	5.448701787164267	5.4487017886416	5.448701790144794	5.448701791602969	6.937162609618271e-23	5.685321544157683e-23	5.34507798316096e-23	6.340461518190779e-23	5.2476802894206524e-23	5.570097325811853e-23	4.4927882026769343e-23	6.028241653562137e-23	5.031535340325899e-23	7.579972286703157e-23	2.0469091393580422e-22	6.365478694779363e-23	5.665962556109584e-23	4.837117142433297e-23	1.6946723475629176e-22	8.595428083262237e-23
2.9103830456733704e-11	5.448701768571207	2.0990623865822997e-22	5.448701770048581	5.448701773059179	5.448701775981988	5.44870177901494	5.448701781912207	5.448701784955837	5.448701787864866	5.448701790885373	5.448701793767357	5.448701796829148	5.448701799692563	5.4487018026868235	5.448701805681005	5.44870180863791	5.448701811645171	5.44870181455838	2.270611636171342e-22	1.860869923337526e-22	1.7495043647933709e-22	2.0753046327529068e-22	1.717625000103799e-22	1.8231557358998159e-22	1.470540298090715e-22	1.9731115463912513e-22	1.646878318191867e-22	2.481010500198236e-22	6.699764689916507e-22	2.0834930370707407e-22	1.8545335080046294e-22	1.583243047222957e-22	5.546853906147653e-22	2.813380645953252e-22
5.820766091346741e-11	5.448701768495228	1.031172017150803e-21	5.448701771450667	5.448701777472079	5.448701783318047	5.448701789384629	5.448701795177864	5.448701801265007	5.448701807084	5.448701813125318	5.4487018188886305	5.448701825010219	5.44870183073918	5.448701836728807	5.448701842715591	5.44870184862933	5.4487018546420405	5.448701860470167	1.1154462087471281e-21	9.141591049266486e-22	8.594503700271613e-22	1.0195009343397622e-21	8.437895163990927e-22	8.956318734427686e-22	7.224082596005314e-22	9.692982096967027e-22	8.0903495209448615e-22	1.2188054144628597e-21	3.291283724532388e-21	1.0235235176855024e-21	9.110463178927803e-22	7.777738942305546e-22	2.724912116860121e-21	1.3820834550917326e-21
1.1641532182693481e-10	5.448701768344119	2.8393194520265484e-21	5.448701774254398	5.448701786296775	5.448701797989675	5.448701810122263	5.448701821709655	5.448701833884267	5.4487018455217235	5.448701857604754	5.448701869130891	5.448701881375422	5.448701892831475	5.448701904810904	5.448701916785146	5.448701928612258	5.448701940637721	5.448701952295674	3.071367400888155e-21	2.517125839040094e-21	2.366486011142965e-21	2.8071832692170306e-21	2.323364043515957e-21	2.4661113352818217e-21	1.989142247532895e-21	2.668950685076464e-21	2.2276677786488568e-21	3.355965701126582e-21	9.062509208719454e-21	2.8182594029275466e-21	2.5085548182711225e-21	2.1415908407493515e-21	7.50301196093467e-21	3.8055497754957385e-21
2.3283064365386963e-10	5.448701768042232	1.0986161578419098e-20	5.44870177986267	5.448701803947359	5.448701827335405	5.448701851599207	5.448701874774742	5.448701899122092	5.448701922397754	5.448701946562965	5.4487019696152155	5.4487019941044155	5.448702017014887	5.4487020409739415	5.448702064924287	5.448702088579138	5.448702112631211	5.448702135944769	1.1884023303105598e-20	9.739499780896437e-21	9.156630006154875e-21	1.086181724069033e-20	8.989778437694394e-21	9.542109670132094e-21	7.69657606447164e-21	1.032695473915553e-20	8.619501458987478e-21	1.2985217784456878e-20	3.5065512054953133e-20	1.0904674057849397e-20	9.706335982088362e-21	8.286444483921018e-21	2.9031358788742605e-20	1.472479072352156e-20
4.656612873077393e-10	5.4487017674382825	4.444930085843107e-20	5.4487017910782605	5.448701839248451	5.4487018860243115	5.448701934551931	5.448701980902549	5.448702029598281	5.448702076148741	5.448702124479393	5.448702170583784	5.448702219562653	5.448702265385596	5.448702313303179	5.4487023612026775	5.448702408511677	5.448702456613296	5.44870250324434	4.808199146151398e-20	3.9405387667163346e-20	3.704713416853704e-20	4.394621169136456e-20	3.6372063488731766e-20	3.8606760015709935e-20	3.113985013123483e-20	4.1782192522439034e-20	3.4873946725199496e-20	5.253735327790727e-20	1.418727991537002e-19	4.4119607608231534e-20	3.927120907709612e-20	3.35264196947573e-20	1.1745900439556278e-19	5.957555314250627e-20
9.313225746154785e-10	5.44870176623074	1.7911534841015109e-19	5.448701813510743	5.448701909849541	5.448702003401948	5.448702100458608	5.448702193158435	5.448702290551044	5.448702383651631	5.448702480313308	5.44870257252104	5.448702670479166	5.448702762121919	5.4487028579588195	5.448702953760142	5.448703048376654	5.448703144581516	5.448703237841114	1.9375383834073302e-19	1.587901182905145e-19	1.4928717023760169e-19	1.7708807262179655e-19	1.46566868282795e-19	1.5557192436446114e-19	1.254828534527552e-19	1.6836782191090748e-19	1.4052997454371075e-19	2.117074094571424e-19	5.716984375362236e-19	1.7778679834889897e-19	1.5824942486126813e-19	1.3509990547876702e-19	4.733192668930329e-19	2.4006892688443446e-19
1.862645149230957e-09	5.448701763814994	7.043727544984046e-19	5.448701858375591	5.448702051053698	5.448702238158454	5.448702432271177	5.4487026176707545	5.448702812455239	5.448702998657726	5.448703191980567	5.4487033763959944	5.448703572312323	5.448703755598347	5.448703947271528	5.448704138873647	5.448704328106678	5.4487045205192	5.44870470703432	7.619387507439557e-19	6.244436001726562e-19	5.870731695797679e-19	6.964004738208027e-19	5.763755571307009e-19	6.1178802296881e-19	4.934624749546499e-19	6.621080077220385e-19	5.526354169955401e-19	8.325413342332887e-19	2.248209362091071e-18	6.991482191671869e-19	6.223173182907437e-19	5.312816204708898e-19	1.8613323689893252e-18	9.44073262286057e-19
3.725290298461914e-09	5.448701758984472	2.804076817794805e-18	5.448701948106682	5.448702333460125	5.4487027076700345	5.44870309589812	5.448703466695637	5.448703856264866	5.448704228669922	5.448704615314848	5.448704984144886	5.448705375978224	5.44870574254906	5.4487061258976475	5.448706509101493	5.448706887567195	5.44870727239317	5.448707645421958	3.0332445056910244e-18	2.48588238554383e-18	2.3371123523087485e-18	2.7723395206177374e-18	2.2945256297494126e-18	2.4355010917947798e-18	1.9644523125505484e-18	2.635822728055125e-18	2.200017180666051e-18	3.3143102714726942e-18	8.950022148822689e-18	2.783278173451378e-18	2.4774177513069636e-18	2.115008660071986e-18	7.409881930783748e-18	3.758313949779978e-18
7.450580596923828e-09	5.448701749322801	1.1236903609946099e-17	5.448702127564916	5.448702898274	5.448703646694664	5.448704423149545	5.448705164744433	5.448705943883101	5.448706688693561	5.448707461984166	5.448708199644476	5.448708983310694	5.448709716452395	5.448710483149179	5.448711249556789	5.448712006488856	5.448712776140576	5.448713522197504	1.2155257630443037e-17	9.961788698066302e-18	9.365615828299756e-18	1.1109721306324483e-17	9.194956132593444e-18	9.75989346537869e-18	7.872238428840892e-18	1.0562651401024325e-17	8.816228158403758e-18	1.3281585161165691e-17	3.5865827767270066e-17	1.1153556263603238e-17	9.92786798718953e-18	8.475569676482885e-18	2.969395434850391e-17	1.506086114388396e-17
